UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2013","931-Mixed Chorus","19","Keefer Crossing MS","","New Caney","Hannah Frazier","","Pixie Thanes","CC","Non-Varsity","","80344","Sing to the Lord (SAB)","Crocker/ ","River  Sing Your Song (piano) (3 part mixed)","Butler/Davenport","Sing We and Chant It (3 part mixed)","Morley/Robinson","Susan Burt","Debbie Moore","Debbie Tidwell","DQ","DQ","DQ","DQ","Deidre Douglas","David Downum","Amy Kelley","4","4","4","4",""
"03/07/2013","931-Mixed Chorus","19","Riverwood MS","","Kingwood","Gretchen W. Guseman","","Annelisse Lagasse","CCC","Varsity","","78307","The Sky Can Still Remember ","Gray","All Ye Who Music Love","Donato","Sing a Jubilant Song","Perry","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","C"
"03/07/2013","931-Mixed Chorus","19","Timberwood MS","","Humble","Leanne Elgin","Gretchen Chandler","Jackson Hern","CCC","Non-Varsity","","80334","Whisper! Whisper!","Althouse arr. L.A. Elgin","Aleluia from uns ist ein kind gerboren","Libergen/Kuhnau","Didn't My Lord Deliver Daniel","Emerson","Susan Burt","Debbie Moore","Debbie Tidwell","2","2","2","2","Deidre Douglas","David Downum","Amy Kelley","3","3","2","3",""
"03/07/2013","933-Tenor/Bass Chorus","19","Aldine MS","","Houston","April Bayer","","Jeanna Villianuvea","CCC","Non-Varsity","","79552","I Walk By the Sea","Patti DeWitt","Set Me As a Seat Upon Your Heart","Laura Farnell","This Train","Donald Moore","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","19","Atascocita Middle School","","Humble","Grant Lyons","","","CCC","Non-Varsity","","80869","Santa Lucia (TB)","Cottrau/Leck","African Noel","Johnson","This Train  ","Anon. or Trad./Moore","Susan Burt","Debbie Moore","Debbie Tidwell","2","1","1","1","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","19","Grantham MS","","Houston","Belinda deHoyos","","Catherine Schaefer","CCC","Non-Varsity","","79557","Poor Wayfaring Stranger  ","Anon. or Trad./Estes","Sons Of Art  ","Anon. or Trad./Crocker/Leavitt","Loch Lomond (TB)","Anon. or Trad./Rentz","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","2","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","19","Hambrick MS","","Houston","Andrew Willits","","Jeanna Villanueva","CCC","Non-Varsity","","80836","Sons Of Art  ","Anon. or Trad./Crocker/Leavitt","Dodi Li","Anon. or Trad./Rao","Hand Me Down My Silver Trumpet  ","Anon. or Trad./Moses","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","19","Plummer MS","","Houston","Megan Truelson","","Catherine Schaefer","CCC","Non-Varsity","","80829","The Pirate  ","DeWitt/ ","Gloria (TB)","Davison/ ","Who Will Be a Witness?","Donald Moore","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","2","2","2","2","2"
"03/07/2013","933-Tenor/Bass Chorus","19","Shotwell MS","","Houston","Michelle Womack","","Matthew Wallace","CCC","Non-Varsity","","78299","I've Been Working On the Railroad ","Trad./Follett","As The Holly Groweth Green    ","Crocker/Leavitt","Old Joe Clark","Anon. or Trad./Emerson","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","DQ","DQ","DQ","DQ","2"
"03/07/2013","933-Tenor/Bass Chorus","19","Woodcreek Middle School","","Houston","Jennifer Lewis","","Roberta Thanes","CCC","Non-Varsity","","80555","Come On  Boys (TB)","Bailey/ ","The Vagabond (TB)(from the collection Songs of the Road and the Sea)","Farnell/ ","Great Big House in New Orleans (From Tow-Oart American Songs  Book Two)","M.A.W.","Susan Burt","Debbie Moore","Debbie Tidwell","1","2","1","1","Deidre Douglas","David Downum","Amy Kelley","2","2","3","2","2"
"03/07/2013","935-Treble Chorus","19","Aldine MS","","Houston","April Bayer","","Lori Shownes","CCC","Varsity","","79551","Prayer","Brahms","My True Love Hath My Heart","Williams-Wimberly","Mo Li Hua","Jill Gallina","Susan Burt","Debbie Moore","Debbie Tidwell","1","2","1","1","Deidre Douglas","David Downum","Amy Kelley","2","2","2","2","2"
"03/07/2013","935-Treble Chorus","19","Atascocita Middle School","","Humble","Grant Lyons","","","CCC","Varsity","","80871","Spring Song (SSA)","Butler/ ","Johnny Has Gone For A Soldier (SSA)","Anon. or Trad./Eshelman","Great Day!","Dilworth","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","2","1","2","2","2"
"03/07/2013","935-Treble Chorus","19","Atascocita Middle School","","Humble","Grant Lyons","","","CCC","Non-Varsity","","80870","Antiphonal Hosanna (2 part)","Smith","Maying Song (2 part)","Schubert ","Where Go the Boats? (SA)","Copley","Susan Burt","Debbie Moore","Debbie Tidwell","2","1","1","1","Deidre Douglas","David Downum","Amy Kelley","2","3","2","2","2"
"03/07/2013","935-Treble Chorus","19","Barbers Hill MS","","Mont Belvieu","Melissa Lord","","Suzanna Moorman","CCC","Non-Varsity","","80213","Bel Piacere (from Two Handel Classics) (SA)","Handel/Perry","Medieval Gloria","Singh/ ","Stopping By Woods On A Snowy Evening","Kistler","Susan Burt","Debbie Moore","Debbie Tidwell","1","1","1","1","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","D"
"03/07/2013","935-Treble Chorus","19","Creekwood Middle School","","Kingwood","Adam J Hightower","","","CCC","Varsity","","80846","My True Love Hath My Heart (SA)","Williams/Wimberly","Lascia Ch'io Pianga (from Two Handel Classics) (SA)","Handel/Perry","Everlasting Melody","Dilworth","Susan Burt","Debbie Moore","Debbie Tidwell","2","2","3","2","Deidre Douglas","David Downum","Amy Kelley","1","1","1","1","2"
