UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/04/2012","931-Mixed Chorus","3","Austin Academy ","","Garland","Theresa Whatley","","Diane Camp","CC","Varsity","","73044","O Occhi Manza Mia","Di Lasso","Gloria (from 'Heiligmesse')","Haydn/Leavitt","Never Tell Thy Love","Bright","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","931-Mixed Chorus","3","Bussey Middle School","","Garland","Christina Ritter","","Sharon Bailey","CC","Varsity","","73492","This Old Hammer","arr. Ginsberg","Jubilate! Jubilate!","arr. Eilers","Come In (from the Firefly Darkness)","Amy Feldman Bernon","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","2","1","Patti Adams","Suzie Ribb","Jason Sneed","1","2","3","2","2"
"04/04/2012","931-Mixed Chorus","3","Cain MS","","Rockwall","Rachel Fuller","","Terri McKeever","CCC","Varsity","","73036","Et in Terra Pax (3 part mixed)","Lightfoot/ ","Rise Up in Festive Song","Cleareau/Liebergen","Old Joe Clark (3 part mixed)","Anon. or Trad./Rentz","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","1","2","Patti Adams","Suzie Ribb","Jason Sneed","2","2","1","2",""
"04/04/2012","931-Mixed Chorus","3","Coyle Middle School","","Rowlett","Kimber Rodriguez","","Anne Dixon","CCC","Varsity","","72013","Ride the Chariot (SACB)","Anon. or Trad./Melton","Set Me As a Seal  ","Leavitt/Crocker","Kyrie (keyboard)","Porterfield/ ","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","2","2","1","2",""
"04/04/2012","931-Mixed Chorus","3","Hudson MS","","Sachse","Kelly Flores","Paul Burnam","Sharon Bailey","CCC","Varsity","","72479","Skye Boat Song","Patterson","Set Me as a Seal","Leavitt","Gloria!","Moses","Keith Brumfield","Amy Moore","Kathy Pogue","2","1","2","2","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","2"
"04/04/2012","931-Mixed Chorus","3","OBanion Middle School","","Garland","Oscar Padilla","","Elizabeth Newton","CC","Varsity","","72515","Gloria (descant required)","Poorman/ ","Confitemini Domino (SATB)","Gilpin/ ","Bonse Aba","Victor Johnson","Keith Brumfield","Amy Moore","Kathy Pogue","3","3","3","3","Patti Adams","Suzie Ribb","Jason Sneed","4","4","4","4",""
"04/04/2012","931-Mixed Chorus","3","Schrade MS","","Rowlett","Terrence Jennings","","Sharon Bailey","CCC","Varsity","","74773","Didn't My Lord Deliver Daniel","Anon. or Trad./Emerson","Cantate Domino (Latin)","Pitoni/Greyson/Reed","Skye Boat Song (SATB)","Anon. or Trad./Patterson","Keith Brumfield","Amy Moore","Kathy Pogue","2","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","2","1","1","1","C"
"04/04/2012","931-Mixed Chorus","3","Warren MS","","Forney","Leah A Corcoran","","Vana Duda","CCC","Non-Varsity","","75247","Irish Blessing (SATB)","Patterson/ ","Set Me As a Seal  ","Leavitt/Crocker","Elijah Rock","Emerson","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","1","2","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","2"
"04/04/2012","931-Mixed Chorus","3","Webb Middle School","","Garland","Karla Andersen","","Gena Corley","CCC","Varsity","","73177","She's Like the Swallow  ","Anon. or Trad./Strommen","Gloria (descant required)","Poorman/ ","Ju Me Leve un Bel Maitin","Robert Goodale","Keith Brumfield","Amy Moore","Kathy Pogue","1","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","1","2","2","2",""
"04/04/2012","933-Tenor/Bass Chorus","3","Austin Academy ","","Garland","Theresa Whatley","","Diane Camp","CC","Varsity","","73049","Black is the Color of My True Love's Hair (TTB)","Johnson","Go Down  Moses [TT(B)B]","Anon. or Trad./Arthur","Kyrie (from Four Latin Songs) (TBB)","Juneau","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","933-Tenor/Bass Chorus","3","Brandenburg Middle School","","Garland","Lisa Walter","","Dawn Hargis","CCC","Non-Varsity","","71902","Cantate Domino","Farnell/ ","Rain Music","Farnell","Shenandoah (TB)","Anon. or Trad./Rentz","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","2","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","D"
"04/04/2012","933-Tenor/Bass Chorus","3","Brown MS","","Forney","Jesse Bass","","Tracy Hall","CC","Non-Varsity","","74662","This Train  ","Anon. or Trad./Moore","Contest Songs For Tenor Bass Choir: Come Back To Sorrento","DeWitt","Loch Lomond (TTB  solo)","Anon. or Trad./Gilpin","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","2","2","2","2",""
"04/04/2012","933-Tenor/Bass Chorus","3","Hudson MS","","Sachse","Kelly Flores","Paul Burnam","","CCC","Varsity","","72468","Black is the Color","Johnson","Sansa Kroma","Crocker","Go Down  Moses","Arthur","Keith Brumfield","Amy Moore","Kathy Pogue","2","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","2","1","1","C"
"04/04/2012","933-Tenor/Bass Chorus","3","Jackson Technology Center","","Garland","Beth Jagielski","","Rachel Bragdon","CCC","Non-Varsity","","73344","Da unten im Tale","Johannes Brahms","Goodbye  My Lover  Goodbye","Siltman","Shoshone Love Song","Emerson","Keith Brumfield","Amy Moore","Kathy Pogue","2","3","3","3","Patti Adams","Suzie Ribb","Jason Sneed","3","3","2","3",""
"04/04/2012","933-Tenor/Bass Chorus","3","Lyles Middle School","","Garland","Brenda Brothers","","Brenda Whitlow","CC","Non-Varsity","","74423","Aura Lee","Poulton/Crocker","Sons Of Art","Anon. or Trad./Crocker/Leavitt","I've Been Working On the Railroad","Anon. or Trad./Follett","Keith Brumfield","Amy Moore","Kathy Pogue","3","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","4","4","3","4",""
"04/04/2012","933-Tenor/Bass Chorus","3","Royse City Middle School","","Royse City","Heather Fisher","","Tracy Hall","CCC","Non-Varsity","","72800","Hand Me Down My Silver Trumpet  ","Anon. or Trad./Moses","The Pirate  ","DeWitt/ ","Aura Lee  ","Poulton/Crocker","Keith Brumfield","Amy Moore","Kathy Pogue","3","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","3","3","3","3",""
"04/04/2012","933-Tenor/Bass Chorus","3","Schrade MS","","Rowlett","Terrence Jennings","","Sharon Bailey","CCC","Varsity","","74778","I'm Bound Away (TB)","Anon. or Trad./Patterson","The Open Road (TB)(from the collection Songs of the Road and the Sea)","Farnell/ ","Go Down  Moses [TT(B)B]","Anon. or Trad./Arthur","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","2","2","2","2","2"
"04/04/2012","933-Tenor/Bass Chorus","3","Sunnyvale MS","","Sunnyvale","Sandy Shelley","","Rachel Paul","C","Varsity","","71891","Fillimiooriay (TTB)","Anon. or Trad./Berry","The Little Book Spiritual  ","Anon. or Trad./Moore","Adoramus Te (from Three Contemporary Latin Settings) (Latin) (TTB)","Estes/ ","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","933-Tenor/Bass Chorus","3","Warren MS","","Forney","Leah A Corcoran","","Vana Duda","CCC","Non-Varsity","","71587","Noel  Noel [T(T)B(B)]","Singh/ ","Colorado Trail  ","Anon. or Trad./Moore","Come Travel With Me","Scott Favrthing","Keith Brumfield","Amy Moore","Kathy Pogue","1","2","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","D"
"04/04/2012","933-Tenor/Bass Chorus","3","Webb Middle School","","Garland","Gena Corley","","Beverly Ryan","CCC","Varsity","","73304","The Chariot Spiritual [T(T)B(B)  opt descant]","Anon. or Trad./Moore","She Walks in Beauty (TB)","Farnell/ ","Star of the East","Emily Crocker","Keith Brumfield","Amy Moore","Kathy Pogue","1","2","1","1","Patti Adams","Suzie Ribb","Jason Sneed","2","2","2","2","2"
"04/04/2012","933-Tenor/Bass Chorus","3","Williams Middle School","","Rockwall","Donny Behne","","","CCC","Non-Varsity","","73695","The Feast (from Three Knight Songs) (opt drum)","Juneau/ ","Aura Lee","Poulton/Crocker","Sansa Kroma","Anon. or Trad./Crocker","Keith Brumfield","Amy Moore","Kathy Pogue","3","3","4","3","Patti Adams","Suzie Ribb","Jason Sneed","4","4","4","4",""
"04/04/2012","935-Treble Chorus","3","Austin Academy ","","Garland","Jonathan Coffield","","Diane Camp","CC","Non-Varsity","","73400","Praise the King (2 part)","Handel/Kirk","Something Told the Wild Geese (SA)","Anon. or Trad./Porterfield","A Maiden's Song","Crocker","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","D"
"04/04/2012","935-Treble Chorus","3","Austin Academy ","","Garland","Theresa Whatley","","Diane Camp","CC","Varsity","","73089","Coffee Grows on White Oak Trees (flute) (SSA)","Anon. or Trad./Fischer","Heart  We Will Forget Him! (SSA)","Farnell","A New Day  ","Snyder","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","935-Treble Chorus","3","Brandenburg Middle School","","Garland","Lisa Walter","","Dawn Hargis","CCC","Sub Non-Varsity","","71904","Antiphonal Hosanna (2 part)","Smith/ ","The Cuckoo (w/ or w/o accomp) (SA)","Anon. or Trad./Appleby/Fowler","Une Poule Blanche (Two French Hens from Deux Poules Francaises) (flute)","Anon. or Trad./Donahue","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","2","2","1","2","2"
"04/04/2012","935-Treble Chorus","3","Brandenburg Middle School","","Garland","Lisa Walter","","Dawn Hargis","CCC","Non-Varsity","","71903","When I Am Silent  ","Varner/ ","Dance  Boatmen Dance (2 part) (solo)","Anon. or Trad./Scott","Tallis's Canon (w/ or w/o accomp) (SA)","Tallis/Appleby/Fowler","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","2","1","1","D"
"04/04/2012","935-Treble Chorus","3","Brandenburg Middle School","","Garland","Lisa Walter","","Dawn Hargis","CCC","Varsity","","71901","Bayushki Bayu (A Russian Lullaby) (SSA)","Perry/ ","Dixit Dominus (SSA)","Galuppi/Robinson","Je le vous dirai","","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","935-Treble Chorus","3","Brown MS","","Forney","Jesse Bass","","Tracy Hall","CC","Varsity","","74660","Ode to Peace (2 part) (opt brass quintet)","Gallina/ ","Three Songs For Two-Part Chorus: Little Man In The Wood","DeWitt","Heart  We Will Forget Him! (SSA)","Farnell/ ","Keith Brumfield","Amy Moore","Kathy Pogue","2","3","3","3","Patti Adams","Suzie Ribb","Jason Sneed","2","2","2","2",""
"04/04/2012","935-Treble Chorus","3","Bussey Middle School","","Garland","Christina Ritter","","Sharon Bailey","CC","Non-Varsity","","73495","The Ghost Ship (from Reflections of a Lad at Sea)","arr. Besig","Afternoon on a Hill","Lana Cartlidge Potts","Kang Ding Flower Song","Victor Johnson","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","2","1","2","2",""
"04/04/2012","935-Treble Chorus","3","Cain MS","","Rockwall","Rachel Fuller","","Terri McKeever","CCC","Varsity","","73768","Coulters Candy (SA)","Anon. or Trad./DeCormier","Adoramus te  Christe (2 part)","Sebek/ ","Homeward Bound","Keen/Althouse","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","935-Treble Chorus","3","Coyle Middle School","","Rowlett","Kimber Rodriguez","Megan Williams","Anne Dixon","CCC","Non-Varsity","","75205","Little Lamb (2 part  solo opt)","Porterfield/ ","Spring Quiet (SA)","Crocker/Leavitt","Festival Alleluia (unison or 2 part)","Pote/ ","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","2"
"04/04/2012","935-Treble Chorus","3","Coyle Middle School","","Rowlett","Kimber Rodriguez","","Anne Dixon","CCC","Varsity","","72014","A New Day  ","Snyder/ ","Get on Board! (SSA)","Anon. or Trad./Rentz","Petit Enfant (opt flute)","Shaw/Thompsen","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","935-Treble Chorus","3","Hudson MS","","Sachse","Kelly Flores","Paul Burnam","Sharon Bailey","CCC","Non-Varsity","","72487","Al Shlosha D'Varim","Naplan","Will You Still Love Me?","Dewitt","The Old Carrion Crow","Goetze","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","D"
"04/04/2012","935-Treble Chorus","3","Hudson MS","","Sachse","Kelly Flores","","Sharon Bailey","CCC","Varsity","","72486","Festival Sanctus","Leavitt","I Never Saw a Moor (from Three Choral Settings)","Boberg","The Poet Sings","Stroope","Keith Brumfield","Amy Moore","Kathy Pogue","1","1","1","1","Patti Adams","Suzie Ribb","Jason Sneed","1","1","1","1","C"
"04/04/2012","935-Treble Chorus","3","Jackson Technology Center","","Garland","Beth Jagielski","","Rachel Bragdon","CCC","Varsity","","73338","A Jubilant Song","Mary Lynn Lightfoot","Poi ch'el mio foco e spento","Gastoldi/Michaels","The Violet","Mark Patterson","Keith Brumfield","Amy Moore","Kathy Pogue","2","3","1","2","Patti Adams","Suzie Ribb","Jason Sneed","1","2","2","2",""
"04/04/2012","935-Treble Chorus","3","Lyles Middle School","","Garland","Brenda Brothers","","Brenda Whitlow","CC","Varsity","","74409","Antiphonal Kyrie"," Susan Thrift","Forever Lift Your Voice","Wolfgang Mozart","Elijah and Joshua","Sally Albrecht","Keith Brumfield","Amy Moore","Kathy Pogue","2","2","2","2","Patti Adams","Suzie Ribb","Jason Sneed","2","3","2","2",""
