UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/15/2015","931-Mixed Chorus","2","Central High School","","Keller","Leigh Ann McClure","","Patrick Behringer","AAAAAA","Varsity","","105063","Five Hebrew Love Songs (mvt V)","Eric Whitacre","In Remembrance (SATB div) (french horn)","Ames/Gackle","Daemon Irrepit Callidus  ","Orban/ ","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","2","2","2","1"
"04/15/2015","931-Mixed Chorus","2","Fossil Ridge High School","","Keller","Alison Haygood","","David Ward","AAAAAA","Varsity","","104503","Fahr Wohl (German)","Brahms/Klein","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen/ ","Secure","Craig Courtney","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","2","2","2","2","1"
"04/15/2015","931-Mixed Chorus","2","Keller High School","","Keller","Alexander Carr","Chi-Chi King","Alisa Arnett","AAAAAA","Non-Varsity","","105875","Gloria in Excelsis Deo (keyboard)","Vivaldi/Thomas","Banks of Doon (vln)","Schultz/ ","Lobet den Herren (German)","Praetorius/Beveridge","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","1","1","1","C"
"04/15/2015","931-Mixed Chorus","2","Keller High School","","Keller","Chi-Chi King","","Alisa Arnett","AAAAAA","Varsity","","105872","1. Fengyang Song (from A Set of Chinese Folk Songs  Vol. 1) (SSATBB)","Anon. or Trad./Yi","Salvator mundi (SAATB) (Latin) (a cappella)","Tallis/Brown","Magnificent Horses","arr. Jing Ling Tam","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","1","1","1","A"
"04/15/2015","931-Mixed Chorus","2","Saginaw High School","","Saginaw","Michael Williams","","Susan Terry","AAAAA","Varsity","","105935","Luci Care  Luci Belle (Italian) (SAB) (keyboard or inst)","Mozart/Carl","Away from the Roll of the Sea  ","MacGillivray/ ","Tanzen Und Springen","Hassler","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","2","2","2","2","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","3","3","3","3",""
"04/15/2015","931-Mixed Chorus","2","Timber Creek HS","","Keller","Amy Fambrough","Tanner Wilemon","Mary Helen Atkins","AAAAAA","Varsity","","105900","Il est Bel et Bon (French) (w/o accomp)","Passereau/Faure/Greyson","I Carry Your Heart With Me (vln)","Stroope/ ","The Seal Lullaby","","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","2","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","1","1","1","A"
"04/15/2015","933-Tenor/Bass Chorus","2","Central High School","","Keller","Jennifer Randall","","Patrick Berringer","AAAAAA","Varsity","","103012","Let All Men Sing  ","Christopher/ ","Two Liebeslieder Waltzes Op. 52","Brahms/ ","I'm Gonna Sing 'Til the Spirit Moves in my Heart","arr. Eklund","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","2","2","2","2","1"
"04/15/2015","933-Tenor/Bass Chorus","2","Central High School","","Keller","Clinton Hardy","Jennifer Randall","Patrick Behringer","AAAAAA","Non-Varsity","","103006","Stars I Shall Find (TTB)","Johnson/ ","Leave Her  Johnny (TB or TTB)","Anon. or Trad./Crocker","The Dawn's Awake","Farnell","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","2","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","2","1","1","C"
"04/15/2015","933-Tenor/Bass Chorus","2","Fossil Ridge High School","","Keller","Alison Haygood","David Ward","Young Llerena","AAAAAA","Non-Varsity","","104582","Dodi Li","Doreen Rao","Kyrie (from Four Latin Songs) (TBB)","Juneau/ ","Streets of Laredo (TTB)","Anon. or Trad./Palmer","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","3","3","2","3","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","3","4","3","3",""
"04/15/2015","933-Tenor/Bass Chorus","2","Keller High School","","Keller","Alexander Carr","","Alisa Arnett","AAAAAA","Non-Varsity","","105813","II. Lady  to the Flowers Go (from A Trilogy of Knighthood) (TTB)","Bray/ ","Bless the Lord  O My Soul (TTB divisi)","Ippolitov-Ivanov/Bacak","Cover Me With The Night","Trad. /Ramsey","Patrick Antinone - Bedford","Robert Stovall - Fort Worth","Randy Talley - Garland","1","1","1","1","Mona Sinclair - Haltom City","Tim Kilgore - Richmond","Alicia Owens - Mansfield","1","1","1","1","C"
