UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/04/2014","931-Mixed Chorus","7","Dunbar Middle School","","Fort Worth","David Rhone","","Mcwilliams","CC","Varsity","","91284","Joshua's Battle","Greg Gilpin","River  Sing Your Song","E. Butler","Bel Festino","Patrick Liebergen","Beverly Hirsch","James Pfeiffer","Karen Thomas","4","4","4","4","Julie Moore","Jordan Ricks","Paula West","5","5","5","5",""
"03/04/2014","931-Mixed Chorus","7","Jean McClung Middle School","","Crowley","Roslyn Woodard","none","Mary Collins","CC","Non-Varsity","","89699","How Fair a Rose?  (from Three New Madrigals) (SAB)","Althouse/ ","Gloria Alleluia (3 part mixed)","Crocker/ ","Miserere Nobis (Latin) (SAB)","Johnson/ ","Beverly Hirsch","James Pfeiffer","Karen Thomas","1","2","2","2","Julie Moore","Jordan Ricks","Paula West","1","1","1","1","2"
"03/04/2014","931-Mixed Chorus","7","Kennedale Junior High School","","Kennedale","Matthew Schenck","Eleanor Babcock","","CC","Non-Varsity","","90212","Come  Celebrate this Festive Day (from Three New Madrigals) (SAB)","Althouse/ ","Alleluia  Sing With High Delight (2 part mixed)","Mozart/Hopson","Dona Nobis Pacem","","Beverly Hirsch","James Pfeiffer","Karen Thomas","2","2","2","2","Julie Moore","Jordan Ricks","Paula West","2","2","3","2",""
"03/04/2014","931-Mixed Chorus","7","Kerr Middle School","","Burleson","Cindy Glenn","","Janie Sard","CCC","Varsity","","89485","II. Take  O take those lips away (from Three Madrigals)  ","Diemer/ ","Amor Vittorioso (Italian)","Gastoldi/Leininger","The Sky Can Still Remember (SAB)","Gray/ ","Beverly Hirsch","James Pfeiffer","Karen Thomas","1","1","1","1","Julie Moore","Jordan Ricks","Paula West","1","1","1","1","C"
"03/04/2014","931-Mixed Chorus","7","Leonard Middle School","","Fort Worth TX","Lewis Anderson","","Mary Collins","CCC","NVar-Combined","","91218","My Lord What A Morning","Gilpin","And The Green Grass Grew","Moore","Ain't That Good News","Hogan","Beverly Hirsch","James Pfeiffer","Karen Thomas","3","3","3","3","Julie Moore","Jordan Ricks","Paula West","5","5","5","5",""
"03/04/2014","931-Mixed Chorus","7","Riverside Middle School","","Fort Worth","Gavin Gathright","","Elizabeth Barney","CC","Non-Varsity","","89812","Shoshone Love Song","Emerson","African Noel","Johnson","Didn't My Lord Deliver Daniel","Emerson","Beverly Hirsch","James Pfeiffer","Karen Thomas","4","4","3","4","Julie Moore","Jordan Ricks","Paula West","4","4","4","4",""
"03/04/2014","933-Tenor/Bass Chorus","7","Acton MS","","Granbury","Randall Walters","Christine Bridges","Joy Hope","CC","Varsity","","89047","Time To Port (from Three Sea Chanteys)  ","Juneau/ ","Passing By  ","Anon. or Trad./Crocker","Come Travel With Me (TTB)","Farthing/ ","Beverly Hirsch","James Pfeiffer","Karen Thomas","1","1","1","1","Julie Moore","Jordan Ricks","Paula West","1","1","1","1","C"
"03/04/2014","933-Tenor/Bass Chorus","7","Alvarado Junior High School","","Alvarado","Johanna Ray","","Lynn Moore","CC","Non-Varsity","","87424","Sons Of Art  ","Anon. or Trad./Crocker/Leavitt","Come On  Boys (TB)","Bailey/ ","Shepherd's Spiritual","arr. Donald Moore","Beverly Hirsch","James Pfeiffer","Karen Thomas","2","2","2","2","Julie Moore","Jordan Ricks","Paula West","3","2","2","2",""
"03/04/2014","933-Tenor/Bass Chorus","7","Brownwood Middle School","","Brownwood","Amber Chapleau","Cindy Franklin","Cindy Franklin","CC","Varsity","","89254","The Old Brass Wagon (TTB)","Anon. or Trad./Crocker","The Colorado Trail (TTB)","Anon. or Trad./Scoggin","Jonah","Dilworth","Beverly Hirsch","James Pfeiffer","Karen Thomas","2","2","1","2","Julie Moore","Jordan Ricks","Paula West","1","2","2","2",""
"03/04/2014","933-Tenor/Bass Chorus","7","Granbury Middle School","","Granbury","Erin Walter","Cathy Terrel","Joy Hope or Greg Doss","CC","Non-Varsity","","89361","The Colorado Trail (TTB)","Anon. or Trad./Scoggin","Red River Valley (TB or TTB)","Anon. or Trad./Crocker/Leavitt","All the World Was Made for Me","Laura Farnell","Beverly Hirsch","James Pfeiffer","Karen Thomas","1","1","1","1","Julie Moore","Jordan Ricks","Paula West","1","1","1","1","D"
"03/04/2014","933-Tenor/Bass Chorus","7","H.F. Stevens ","","Crowley","Stacy Pepper","","Helen Rogers","CCC","Non-Varsity","","88301","What Shall We Do With a Drunken Sailor?","Ponce","Battle Cry of Freedom","DeWitt","She Walks in Beauty","Farnell","Beverly Hirsch","James Pfeiffer","Karen Thomas","4","4","3","4","Julie Moore","Jordan Ricks","Paula West","4","5","4","4",""
"03/04/2014","933-Tenor/Bass Chorus","7","Hall Middle School","","Weatherford","Courtney Patten","","Paul Andrews","CC","Non-Varsity","","90061","The Maiden in the Tower (from Three Knight Songs) (opt drum)","Juneau/ ","Sea Remembrance (TB)(from the collection Songs of the Road and the Sea)","Farnell/ ","Gloria","Patterson","Beverly Hirsch","James Pfeiffer","Karen Thomas","2","2","1","2","Julie Moore","Jordan Ricks","Paula West","3","3","4","3",""
