UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/06/2017","931-Mixed Chorus","26","Hernandez Middle School","","Austin","Sarah Martinez","","Linda Hester","CC","Non-Varsity","","118091","Celebrate with Jubilant Song","Lightfoot","The Tide Rises","Shaw","Adoramus Te","McPheeters","Dianne Brumley","Karla Kruz","Susan Neff","2","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","2","2","2","2","2"
"03/06/2017","931-Mixed Chorus","26","Hopewell Middle School","","Round Rock","Jerry Cordova","","Linda Hester","CCC","Non-Varsity","","119050","Blades of Grass and Pure White Stones","Christopher","See Them Dance","Crocker","Didn't My Lord Deliver Daniel","Emerson","Dianne Brumley","Karla Kruz","Susan Neff","2","1","2","2","Perry Dean","Rick Gabrillo","Dawn Sheridan","2","2","1","2",""
"03/06/2017","933-Tenor/Bass Chorus","26","Benold Middle School","","Georgetown","Bryan Pulver","","Stacey Brandenberger","CC","Varsity","","118079","Vive l'amour (CBB)","Anon. or Trad./Siltman","A Jubilant Gloria (TTB)","Lightfoot","Tell My Father","Andrea Ramsey","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","933-Tenor/Bass Chorus","26","Canyon Vista Middle School","","Austin","Raul Vara","Jennifer Pavlovich","Stephen Maus","CCC","Non-Varsity","","119398","A Day Upon the Sea","Victor C. Johnson","Integer Vitae (Latin or English) (CCBB)","Flemming/Johnstone","Bound For Jubilee  ","Eilers/ ","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","2","1","1","1","D"
"03/06/2017","933-Tenor/Bass Chorus","26","Cedar Valley Middle School","","Austin","Ciara Gallagher","","Diana Schulz","CCC","Non-Varsity","","118074","Viva Tutti (Italian)","Anon. or Trad./Crocker","At the Foot of Yonder Mountain","Earlene Rentz","Fillimiooriay (TTB)","Anon. or Trad./Beery","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","D"
"03/06/2017","933-Tenor/Bass Chorus","26","Deerpark Middle School","","Austin","Rachelle McClellan","Mary Bailey Bethay","Barbara Perkins","CC","Varsity","","119235","Cantate Domino","Farnell","Kuimba","Johnson","She Walks in Beauty","Farnell","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","933-Tenor/Bass Chorus","26","Gateway College Preparatory School","","Georgetown","Kasie Kline","","Karl Logue","C","Non-Varsity","","117442","Sons of Art","Crocker","Lacrimosa Menuet","Jones","Codfish Shanty","Singh","Dianne Brumley","Karla Kruz","Susan Neff","1","2","2","2","Perry Dean","Rick Gabrillo","Dawn Sheridan","3","3","3","3",""
"03/06/2017","933-Tenor/Bass Chorus","26","Walsh Middle School","","Round Rock","Cindy Moser-Ja","","Charlotte Howenstein","CCC","Non-Varsity","","118789","Come On  Boys (TB)","Bailey/ ","Sea Remembrance","Farnell","She's Like the Swallow (TB)","Anon. or Trad./Farnell","Dianne Brumley","Karla Kruz","Susan Neff","2","2","2","2","Perry Dean","Rick Gabrillo","Dawn Sheridan","2","3","2","2",""
"03/06/2017","933-Tenor/Bass Chorus","26","Walsh Middle School","","Round Rock","Cindy Moser-Ja","","Charlotte Howenstein","CCC","Varsity","","118779","Vive l'amour (CBB)","Anon. or Trad./Siltman","Drink to Me Only With Thine Eyes","Berry","Go Down  Moses","Anon. or Trad./Arthur","Dianne Brumley","Karla Kruz","Susan Neff","1","1","2","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","935-Treble Chorus","26","Benold Middle School","","Georgetown","Bryan Pulver","","Stacey Brandenberger","CC","Varsity","","118080","Longing  ","Crocker","Cantate Domino! Alleluia! (Latin)","Miller","Aya Ngena","Ruth Morris Gray","Dianne Brumley","Karla Kruz","Susan Neff","2","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","935-Treble Chorus","26","Canyon Vista Middle School","","Austin","Raul Vara","Jennifer Pavlovich","Stephen Maus","CCC","Varsity","","119403","The Arrow and the Song  ","Matthews/ ","Mon Coeur Se Recommande a Vous (I Give to You All of My Heart) (SSA)(French)","di Lasso/Robinson","Confitemini Domino (SSA)","Drennan/ ","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","935-Treble Chorus","26","Canyon Vista Middle School","","Austin","Raul Vara","Jennifer Pavlovich","Stephen Maus","CCC","Non-Varsity","","119401","Night Song (SA)","Hester/ ","Non Nobis  Domine (SSA)","Byrd/Bartle","Jubilate Deo! (SA)","Courtney/ ","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","D"
"03/06/2017","935-Treble Chorus","26","Cedar Valley Middle School","","Austin","Ciara Gallagher","","Diana Schulz","CCC","Varsity","","118072","The Maiden's Farewell (descant)","Spevacek/ ","The Seal Lullaby (SSA)","Whitacre/ ","Deo Gracias (from A Ceremony of Carols) (SSA) (harp or piano)","Britten/ ","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","1"
"03/06/2017","935-Treble Chorus","26","Deerpark Middle School","","Austin","Rachelle McClellan","Mary Bailey Bethay","Barbara Perkins","CC","Varsity","","119230","Coffee Grows on Wite Oak Trees","Fischer","Sonatemi un Balletto","Gastoldi/Michaels","In You I Found","Farnell","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","935-Treble Chorus","26","Gateway College Preparatory School","","Georgetown","Kasie Kline","","Karl Logue","C","Varsity","","118014","Simple Gifts","Copland","Spring Quiet","Leavitt","Chicken On A Fencepost","Gilpin","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","1","1","1","1","C"
"03/06/2017","935-Treble Chorus","26","Ridgeview Middle School","","Round Rock","Marvin Goad","","Diana Schultz","CCC","Varsity","","119645","The Tiger","Porterfield","Lachen und Weinen","Spevecek/ Schubert","For the Beauty of the Earth","Megan Senter","Dianne Brumley","Karla Kruz","Susan Neff","1","1","1","1","Perry Dean","Rick Gabrillo","Dawn Sheridan","3","2","3","3","2"
