UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/26/2014","931-Mixed Chorus","20","Booker T. Washington HSPVA","","Dallas","Gloria Stephens","Nathan Myers","N/A","AAAAA","Varsity","","89472","There Wiill Come Soft Rains","Ivo Antognini","Best of Rooms","Randall Thompson","My Soul's Been Anchored In the Lord","Moses Hogan","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","1","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","1","1","A"
"03/26/2014","931-Mixed Chorus","20","Carter HS","","Dallas","Demetrius Ethley","N/A","John Tatum","AAAA","Varsity","","87515","Sanctus (from Requiem in c minor) (Latin)","Cherubini/Craig/Mason/Liebergen","If Ye Love Me  Keep My Commandments  ","Tallis/Busch","God's Gonna Set This World On Fire","","Jo-Scurlock Dillard","Michael Feris","John Sikon","2","2","2","2","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","1","1","A"
"03/26/2014","931-Mixed Chorus","20","Cedar Hill High School","","Cedar Hill","Christopher Rhodes","","Dr. Susan De Kam","AAAAA","Varsity","","91225","1. Fengyang Song (from A Set of Chinese Folk Songs  Vol. 1) (SSATBB)","Anon. or Trad./Yi","I am in Need of Music","Burnner  David","Werfet Panier Auf Im Lande (German)","Telemann/Kaplan","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","1","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","1","1","A"
"03/26/2014","931-Mixed Chorus","20","Coppell High School","","Coppell","Joshua Brown","Will McLean","Jedda Jones","AAAAA","Varsity","","88071","Die Warnung","Haydn","Where Your Bare Foot Walks (SATB) (divisi)","Childs/ ","Tambur","Anon. or Trad./Bardos","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","1","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","1","1","A"
"03/26/2014","931-Mixed Chorus","20","Desoto High School","","DeSoto","Pamela Dawson","Jesse Cannon II","Kevin Scarborough","AAAAA","Varsity","","92326","Exsultate justi in Domino (SATB)","Adams/ ","What Sweeter Music (keyboard)","Rutter/ ","I Can Tell The World","Hogan","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","1","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","3","2","3","3","A"
"03/26/2014","931-Mixed Chorus","20","Duncanville High School","","Duncanville","Ty Shaw","","Susan Kheshtinejad","AAAAA","Varsity","","91697","Seeds Grow To Plants (from Canticles of America) (SSATB)","Rutter","Lament of the Enchantress (SSAATBB)","Bright","Tunak Tunak Tun","Sperry","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","2","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","2","1","A"
"03/26/2014","931-Mixed Chorus","20","Faith Family Academy Charter School","","Dallas","Fred Wilmer","","Monya Logan","AA","Sub Non-Varsity","","90976","Praise The Lord With Joyful Song","Hal H. Hopson","O Music","Doreen Rao","Set Down Servant","Roger Emerson","Jo-Scurlock Dillard","Michael Feris","John Sikon","3","4","4","4","Daniel Arredondo","Laura Roberts","Natalyn Whitis","3","4","4","4",""
"03/26/2014","931-Mixed Chorus","20","Faith Family Academy Charter School","","Dallas","Fred Wilmer","","Monya Logan","AA","Varsity","","90975","The Water is Wide","Mark Hayes","If Ye Love Me","Thomas Tallis","Dirait-on (from Les Chansons des Roses)","Morten Lauridsen","Jo-Scurlock Dillard","Michael Feris","John Sikon","3","3","4","3","Daniel Arredondo","Laura Roberts","Natalyn Whitis","4","4","4","4",""
"03/26/2014","931-Mixed Chorus","20","Ferris High School","","Ferris","Robert Jones","","Ronda Cooper","AAA","Non-Varsity","","91929","Riu Riu Chiu (Spanish) (SAB or SATB) (w/ designated inst)","Anon. or Trad./Snyder","Jesu! Rex admirabilis","Palestrina","Ma Navu (Hebrew) (SAB or SATB)","Anon. or Trad./Snyder","Jo-Scurlock Dillard","Michael Feris","John Sikon","4","4","3","4","Daniel Arredondo","Laura Roberts","Natalyn Whitis","3","4","4","4",""
"03/26/2014","931-Mixed Chorus","20","Grand Prairie Fine Arts Academy ","","Grand Prairie","Joel Duarte","","Natalie Naudus ","AAAAA","Non-Varsity","","92454","O Praise the Lord With Heart and Voice (SAB) (keyboard)","Haydn/Hopson","Sing We and Chant It (3 part mixed)","Morley/Robinson","Adoramus Te (3 part mixed)","Crocker/ ","Jo-Scurlock Dillard","Michael Feris","John Sikon","1","1","1","1","Daniel Arredondo","Laura Roberts","Natalyn Whitis","1","1","1","1","C"
