UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/02/2020","931-Mixed Chorus","3","Sunnyvale MS","","Sunnyvale","Kellan Hickman","","Rachel Paul","CC","Varsity","","160313","All Through the Night","Eilers","Never Tell Thy Love","Bright","Ticket to the Kingdom","Moore","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","A.C. New Middle School","","Mesquite ","Melody Villegas","","Jennifer Masters","CC","Non-Varsity","","157520","Arirang (TTB) (accomp)","Beery","Will You Come to the Bower? (TBB) (a cappella)","Shearer","Rain Music","Farnell","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Agnew Middle School","","Mesquite","Derrick Shears","","Barbara Lee","CCC","Non-Varsity","","157638","Jubilate Deo ","Laura Farnell ","She Walks in Beauty ","Laura Farnell ","The Vagabond ","Mark Patterson ","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Apollo JH ","","Richardson","Christina Chapman","","Rebecca Baker","CCC","Non-Varsity","","153876","Sansa Kroma (TTB) (percussion) (pub separately) (a cappella)","Anon. or Trad./Crocker","Rest Not (TB) (accomp)","Farnell","Star of Light (TB) (accomp)","Farnell","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Berry Middle School","","Mesquite","Brandi Newton","","Carol Adams","CCC","Non-Varsity","","158495","The Open Road (TB)(a cappella or accomp) (a cappella)","Farnell","Set Me As a Seal Upon Your Heart (TB) (accomp)","Farnell","Who Will Be A Witness? ","Moore","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Canton Jr. High","","Canton","Brenda Sharpe","","Arija Priest","CC","Non-Varsity","","158175","Set Me As a Seal Upon Your Heart (TB) (accomp)","Farnell","Battle Cry of Freedom (TB) (a cappella)","Anon. or Trad./DeWitt","This Train (accomp)","Anon. or Trad./Moore","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Forest Meadow JH","","Dallas","Carisa Niemeyer","Kelsey Reinhart","Ann Fuller","CCC","Varsity","","160121","All the World was Made for Me (TB)(a cappella or accomp) (a cappella)","Farnell","I`m Bound Away (TB) (accomp)","Anon. or Trad./Patterson","On the Deep  Blue Sea (accomp)","Donnelly/Strid","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Kimbrough MS","","Mesquite","Carolyn","","Debra Hochgraber","CCC","Non-Varsity","","159583","Rest Not!","Laura Farnell","The Old Brass Wagon","Emily Crocker","She Is Evening","Vicki Tucker Courtney","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Lake Highlands Junior High","","Dallas","Kelly Moss","","Ann Fuller","CCC","Varsity","","159842","Dies Irae (TTB) (accomp)","Jones","The Open Road (TB)(a cappella or accomp) (a cappella)","Farnell","The Shepherd`s Spiritual","Anon. or Trad./Moore","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
"04/02/2020","933-Tenor/Bass Chorus","3","Liberty Junior High","","Dallas","Katie Adams","Victoria Flores","Matthew Dittman","CC","Varsity","","157857","She Is Evening (T(T)B) (accomp)","Courtney","Three Latin Songs (T(T)B)(perform #1 or #3) (a cappella)","Farnell","Fillimiooriay (TTB) (accomp)","Anon. or Trad./Beery","Colton Blake","Melissa Bunzendahl","Julie Moore","","","","","Patti Adams","Laura Farnell","Lorelai Taylor","","","","",""
