UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/07/2015","931-Mixed Chorus","28","Gladys Porter High School","","Brownsville","Jennifer Nimchan","Enrique Sandoval","Luis A. Fabela","AAAAA","Varsity","","103215","Luci Care  Luci Belle (Italian) (SAB) (keyboard or inst)","Mozart/Carl","Laudamus Te (SAB)","Poorman/ ","And the Green Grass Grew (SAB)","Moore/ ","Tina Bernard","Lynnda Castolenia","James Pfeiffer","2","1","2","2","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","2","3","1","2",""
"04/07/2015","931-Mixed Chorus","28","Gladys Porter School","","Brownsville","Enrique Sandoval","Jennifer Nimchan","Alain Fabela","AAAAA","Non-Varsity","","104088","Rise Up This Day To Celebrate (SAB) (opt trumpet)","Haydn/Liebergen","Sing to the Lord (SAB)","Crocker/ ","River  Sing Your Song (piano) (3 part mixed)","Butler/Davenport","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","1","1","2","1","C"
"04/07/2015","931-Mixed Chorus","28","Hanna High School","","Brownsville ","Gene Holkup","Dylan Corder","Mr. Robert G. Cruhm","AAAAAA","Varsity","","96673","Exultate Justi  ","Viadana/ ","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen/ ","Zigeunerleben (German) (solos opt) (piano & percussion)","Schumann/Kaplan","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","2","1","2","2","1"
"04/07/2015","931-Mixed Chorus","28","Harlingen High School","","Harlingen","Denise Pitcock","","Michael Ensign","AAAAA","Varsity","","99007","Dessus le marche d'Arras (SSATTB) (sing 1 & 2) (w/ percussion)","di Lasso/Erb","O Magnum Mysterium (SATB div)","La Rocca/ ","Skip to My Lou","Busselberg","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","1","1","1","1","A"
"04/07/2015","931-Mixed Chorus","28","Harlingen South High School","","Harlingen","Jesus Morales","","Henry Tharpe","AAAAA","Varsity","","96924","How Lovely are the Messengers  ","Mendelssohn/Neuen","Earth Song (SATB)","Ticheli/ ","Alleluia (from Songs of Faith) (SATB divisi) (piano  horn & percussion)","Basler/ ","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","1","1","1","1","A"
"04/07/2015","931-Mixed Chorus","28","La Feria High School","","La Feria","Veronica Vincent","","Cesar Mascorro","AAAA","Non-Varsity","","101742","Will You Walk With Me? (SAB)","DeWitt/ ","Joshua's Battle (3 part mixed)","Anon. or Trad./Gilpin","In the Bleak Midwinter","Mac Huff","Tina Bernard","Lynnda Castolenia","James Pfeiffer","2","3","2","2","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","3","2","3","3",""
"04/07/2015","931-Mixed Chorus","28","Lopez High School","","Brownsville","Chelsea Armour","Jason Whitney","Jennifer Hernandez","AAAAAA","Varsity","","101693","Ecco  Quel Fiero Istante (Italian) (SAB) (3 clarinets)","Mozart/Carl","Salvation is Created","Tschesnokoff/Robinson","Gloria from Mass in Time of War (Latin) (SATB)","Haydn/Liebergen","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","2","2","3","2","1"
"04/07/2015","931-Mixed Chorus","28","Pace High School","","Brownsville","Will Armour","Joe Alvear","Janna Bauskar","AAAAA","Varsity","","102788","Gloria In Excelsis Deo (from Missa in G) (sop  bass soli)","Schubert/Anderson","The Prayer of Saint Francis (SSAATB)","Clausen/ ","Soon Ah Will Be Done","Dawson","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","2","1","1","1","A"
"04/07/2015","931-Mixed Chorus","28","San Benito High School","","San Benito","Ted Lyra / Anna Garcia","","Eradio Martinez","AAAAAA","Varsity","","102643","O Magnum Mysterium (w/o accomp)","Victoria/Washington/Shaw/Parker","Jubilate Deo (Latin)","Mozart/Kendall","Festival Sanctus","Leavitt","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","2","2","2","2","1"
"04/07/2015","931-Mixed Chorus","28","San Benito High School","","San Benito","Ted Lyra / Anna Garcia","","Eradio Martinez","AAAAAA","Non-Varsity","","102354","April is in My Mistress Face ","Russell Robinson","The Lord is My Shephard","Allen Pote","Exsultate justi in Domine","Brant Adams","Tina Bernard","Lynnda Castolenia","James Pfeiffer","1","1","1","1","Robin Brockway-Nichols","Michael Petrisky","Ken Stanton","1","1","1","1","C"
