UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/12/2012","931-Mixed Chorus","13","Austin High School","","Sugar Land","Joshua Feldpausch","","Tami Hook","AAAAA","Varsity","","75601","Elijah Rock (SATB divisi)","Anon. or Trad./Hogan","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen/ ","Tambur (SATB)","Anon. or Trad./Bardos","Gail Land","Michael Madrid","Sandra Walker","1","2","2","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","3","3","3","3",""
"04/12/2012","931-Mixed Chorus","13","Clements High School","","Sugar Land","Mary Matysiak","","Jenny Warkentin","AAAAA","Varsity","","74012","To Him We Sing (SATB div)","Young/ ","O Magnum Mysterium (Latin) (SATB divisi)","Lauridsen/ ","John the Revelator","Paul Caldwell/Sean Ivory","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","A"
"04/12/2012","931-Mixed Chorus","13","Dulles High School","","Sugar Land","Jennifer Marrero","","","AAAAA","Varsity","","75053","Cantate Domino (SATB)","Hassler/Greyson","Lux Aurumque (SATB)","Whitacre/ ","Tunggare","Stephen Leek","Gail Land","Michael Madrid","Sandra Walker","2","2","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","2","2","2","2",""
"04/12/2012","931-Mixed Chorus","13","Elkins High School","","Missouri City","Russell Clark","None","None","AAAAA","Varsity","","76336","O Magnum Mysterium (Latin) (SATB divisi)","Lauridsen/ ","Hark  I Hear the Harps Eternal (SATB divisi)","Anon. or Trad./Parker","Nearer My God to Thee","Clausen","Gail Land","Michael Madrid","Sandra Walker","2","3","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","3","4","4","4",""
"04/12/2012","931-Mixed Chorus","13","Foster High School","","Richmond ","Billy Craven","","Juan Manuel Senties","AAAA","Varsity","","75956","Domine Fili Unigenite (from Gloria) (Latin)","Vivaldi/Kjelson/Thomas","Sicut Cervus  ","Palestrina/ ","Parce Domine","Nowowiejski  Felix","Gail Land","Michael Madrid","Sandra Walker","2","2","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","2","2","2","2",""
"04/12/2012","931-Mixed Chorus","13","George Ranch High School","","Richmond","Christopher Cuellar","","Carmen McCullough","AAAA","Non-Varsity","","77032","Sing to the Lord from Three Meditations","Goemanne","Bonse Aba","Fischer","Erev Shel Shoshanim","Klebanow","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","B"
"04/12/2012","931-Mixed Chorus","13","Hightower High School","","Missouri City","Timothy Dillow","","","AAAAA","Varsity","","74909","Hark  I Hear the Harps Eternal","Alice Parker","Lux Aurumque","Eric Whitacre","Lamentations of Jeremiah","Z. Randall Stroope","Gail Land","Michael Madrid","Sandra Walker","1","1","2","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","A"
"04/12/2012","931-Mixed Chorus","13","Terry High School","","Rosenberg","Rhonda Klutts","","Kelvin McClendon","AAAA","Varsity","","75610","Domine Fili a 3 (SAB) (opt strings)","Martini/Banner","A Red  Red Rose (SAB)","Burton/ ","Know My Heart","Harlan","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","2","2","2","2","1"
"04/12/2012","931-Mixed Chorus","13","Travis High School","","Richmond","Timothy Kilgore","","Wanda Davis","AAAAA","Varsity","","75590","Allon  Gay Bergeres (French)","Costeley/Shaw/Parker","The Gartan Mother's Lullaby (SATB) (opt flute or vln)","Anon. or Trad./Ginsberg","Little Innocent Lamb","Bartholomew","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","A"
"04/12/2012","931-Mixed Chorus","13","Willowridge High School","","Missouri City","Cory D. Gibson","","Wanda Davis","AAAA","Varsity","","76418","Il est Bel et Bon (French) (w/ or w/o accomp)","Passereau/Faure/Greyson","O Praise the Lord With Heart and Voice (SAB) (keyboard)","Haydn/Hopson","Keep Your Lamps","arr. Jay Althouse","Gail Land","Michael Madrid","Sandra Walker","2","3","2","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","4","4","4","4",""
"04/12/2012","933-Tenor/Bass Chorus","13","Clements High School","","Sugar Land","Mary Matysiak","","Susan Hines","AAAAA","Varsity","","76158","Be Thou My Vision (TBB) (opt bass solo)","Anon. or Trad./Hunter","Ave Maria","Arcadelt","Go Down  Moses (TTBB  tenor solo)","Anon. or Trad./Hogan","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","B"
"04/12/2012","933-Tenor/Bass Chorus","13","Foster High School","","Richmond ","Billy Craven","","Juan Manuel Senties","AAAA","Varsity","","75957","Think On Me  ","Anon. or Trad./Mulholland","Leave Her  Johnny (TB or TTB)","Anon. or Trad./Crocker","What Shall We Do with a Drunken Sailor? (TTBB)","Anon. or Trad./Eddleman","Gail Land","Michael Madrid","Sandra Walker","2","2","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","2","1","1"
"04/12/2012","933-Tenor/Bass Chorus","13","George Ranch High School","","Richmond","Christopher Cuellar","","Carmen McCullough","AAAA","Varsity","","77037","Sing me a song of a Lad that is Gone","Porterfield","Amor Vittorioso","Leininger","The King of Love My Shepherd is","Wilberg","Gail Land","Michael Madrid","Sandra Walker","1","2","2","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","1"
"04/12/2012","933-Tenor/Bass Chorus","13","Travis High School","","Richmond","Timothy Kilgore","","Wanda Davis","AAAAA","Varsity","","75602","Lasst Lautenspiel Und Becherklang (Let Sounds of Joy Be Heard) (German) (TBB)","Schumann/Pfautsch","At The River  ","Copland/White","Bonsa Aba","arr. Fischer","Gail Land","Michael Madrid","Sandra Walker","2","2","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","1"
"04/12/2012","935-Treble Chorus","13","Austin High School","","Sugar Land","Joshua Feldpausch","","Tami Hook","AAAAA","Non-Varsity","","75607","Joyfully Sing!  ","Spevacek/ ","Lux Aeterna (Light Eternal from Missa) (SSA divisi) (organ or keyboard)","Stroope/ ","I Will Walk With My Love (SA)","Mulholland/ ","Gail Land","Michael Madrid","Sandra Walker","2","2","3","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","4","4","4","4",""
"04/12/2012","935-Treble Chorus","13","Clements High School","","Sugar Land","Mary Matysiak","","Jenny Warkentin","AAAAA","Non-Varsity","","74108","In Time of Silver Rain","Audrey Snyder","Kyrie Eleison (Latin) (SSAA)","Leininger/ ","O Clap Your Hands (SSAA)","Knowles/ ","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","C"
"04/12/2012","935-Treble Chorus","13","Clements High School","","Sugar Land","Mary Matysiak","","Susan Hines","AAAAA","Varsity","","74020","The Cloths of Heaven","Daley/ ","S'Vivon","Traditional Hebrew Song arr. by Betty Bertaux","Psalm 23 (SSA) (flute & oboe)","Stroope/ ","Gail Land","Michael Madrid","Sandra Walker","1","1","1","1","Beth Casey","Kathleen Cuddihee","Tammy Patterson","1","1","1","1","B"
"04/12/2012","935-Treble Chorus","13","Foster High School","","Richmond ","Billy Craven","","Juan Manuel Senties","AAAA","Varsity","","75958","In Paradisum (from Requiem  Opus 48) (SSA)","Faure/Rentz","In stiller Nacht (German)","Brahms/Klein","The Source of the Waters","Telfer  Nancy","Gail Land","Michael Madrid","Sandra Walker","2","2","1","2","Beth Casey","Kathleen Cuddihee","Tammy Patterson","2","2","2","2",""
