UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2013","931-Mixed Chorus","16","Wylie Junior High School","","Abilene","Robin Davis","","Sylvia German","CC","Varsity","","79649","Come  Celebrate with Joyful Pleasure (SAB) (a cappella  hand drum)","Arcadelt/Liebergen","Confitemini Domino (SATB)","Gilpin/ ","Didn't My Lord Deliver Daniel (SAB)","Anon. or Trad./Emerson","Heather Farren","Brandon Farren","Julie Moore","2","2","2","2","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","2","1","2"
"03/07/2013","933-Tenor/Bass Chorus","16","Clack Middle School","","Abilene","Laura Grametbaur","","Nancy Jones","CC","Non-Varsity","","79718","Battle Above The Clouds","Vicki Tucker Courtney","Lord  Dismiss Us With Thy Blessing (from Three A Cappella Hymns) (TTB)","Anon. or Trad./Scoggin","Set Me As a Seal Upon Your Heart (TB)","Farnell/ ","Heather Farren","Brandon Farren","Julie Moore","1","1","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","16","Clyde Jr. High","","Clyde","Cindy Davenport","Chelsea Ashby","Cindy Davenport","C","Non-Varsity","","80880","The Open Road  from Songs of the Road and the Sea","Farnell/","Set Me As a Seal Upon Your Heart (TB)","Farnell/ ","What Shall We Do With a Drunken Sailor? (TB)","Anon. or Trad./Rentz","Heather Farren","Brandon Farren","Julie Moore","2","1","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","2","2","1","2","2"
"03/07/2013","933-Tenor/Bass Chorus","16","Craig Middle School","","Abilene","Wendy Weeks","","Beverly Warren","CCC","Non-Varsity","","80003","Gloria Deo from Three Latin Songs","Farnell","Arirang (TTB)","Beery/ ","Sing Me a Song of a Lad That Is Gone (TTB)","Porterfield/ ","Heather Farren","Brandon Farren","Julie Moore","1","1","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","16","Madison Middle School","","Abilene","Kyle Orr","","Abigail Payne Sanders","CC","Non-Varsity","","79824","As The Holly Groweth Green  ","Anon. or Trad./Crocker/Leavitt","Loch Lomond","Rentz","Cantate Domino (TTB)(accomp opt)","Farnell","Heather Farren","Brandon Farren","Julie Moore","1","1","2","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","1","1","D"
"03/07/2013","933-Tenor/Bass Chorus","16","Mann Middle School","","Abilene","Ginnylou S. Murphey","","Dawn Sickbert","CC","Non-Varsity","","80017","Benedictus  ","Schram/ ","Hi-O! (from Three Knight Songs) (opt drum)","Juneau/ ","Set Me As a Seal Upon Your Heart (TB)","Farnell/ ","Heather Farren","Brandon Farren","Julie Moore","2","2","1","2","Clorese Porter","Georgia Kornegay","James Coldewey","1","2","2","2",""
"03/07/2013","933-Tenor/Bass Chorus","16","Snyder Junior High","","Snyder","Judy Brown","","","CC","Non-Varsity","","80135","Boatmen Stomp (3 part)","Gray/ ","Colorado Trail  ","Anon. or Trad./Moore"," Three Latin Songs (Dona Nobis Pacem)","Laura Farnell","Heather Farren","Brandon Farren","Julie Moore","1","2","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","2","1","D"
"03/07/2013","935-Treble Chorus","16","Clack Middle School","","Abilene","Laura Grametbaur","","Nancy Jones","CC","Varsity","","79720","Give Thanks and Praise (SA)","Handel/Kihlken","How Brightly Shines the Morning Star (English or German) (SA)","Praetorius/Rao","Something Told the Wild Geese (SA)","Anon. or Trad./Porterfield","Heather Farren","Brandon Farren","Julie Moore","1","1","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","2","1","1","C"
"03/07/2013","935-Treble Chorus","16","Clyde Jr. High","","Clyde","Cindy Davenport","Chelsea Ashby","Cindy Davenport","C","Varsity","","80881","Ma Bella Bimba","Moore","Non Nobis  Domine (SSA)","Byrd/Bartle","The Violet (SSA)","Patterson/ ","Heather Farren","Brandon Farren","Julie Moore","1","2","2","2","Clorese Porter","Georgia Kornegay","James Coldewey","2","2","2","2",""
"03/07/2013","935-Treble Chorus","16","Craig Middle School","","Abilene","Wendy Weeks","","Beverly Warren","CCC","Non-Varsity","","80002","Gloria!","D. Farrell Smith","The Cuckoo (w/ or w/o accomp) (SA)","Anon. or Trad./Appleby/Fowler","Prettier Far than These (unison opt 2 part)","Beery/ ","Heather Farren","Brandon Farren","Julie Moore","1","1","1","1","Clorese Porter","Georgia Kornegay","James Coldewey","1","1","1","1","D"
