UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/08/2014","931-Mixed Chorus","8","A&M Consolidated HS","","College Station","Travis Angel","","Judy Anderson","AAAAA","Varsity","","93087","Gloria (from The Masque Of Angels) (SATB divisi)","Argento/ ","Gloria (from The Masque Of Angels) (SATB divisi)","Argento/ ","Sing Me to Heaven  ","Gawthrop/ ","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","2","2","2","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","1"
"04/08/2014","931-Mixed Chorus","8","Bryan High School ","","Bryan","Rob Urbanek","","Mira Jun","AAAAA","Non-Varsity","","94879","Beata Viscera (SAATB)","Byrd/ ","Sure On This Shining Night","Barber","Earth Song (SATB)","Ticheli/ ","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","2","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","C"
"04/08/2014","931-Mixed Chorus","8","Bryan High School ","","Bryan","Alex Medlock","Rob Urbanek","Mira Jun","AAAAA","Varsity","","94869","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen/ ","Sleep (SATB div)","Whitacre/ ","Let The Redeemed Say So","Glenn Burleigh","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","A"
"04/08/2014","931-Mixed Chorus","8","Rudder High School","","Bryan","Charlotte Angel","","Rebecca Carlton","AAAA","Varsity","","93746","Festival Sanctus","Leavitt","The Winter's Night","Myers","Go and Tell John","Pfautsch","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","2","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","A"
"04/08/2014","933-Tenor/Bass Chorus","8","A&M Consolidated HS","","College Station","Travis Angel","","Judy Anderson","AAAAA","Varsity","","93088","March of the Kings (French)","Anon. or Trad./Shaw/Parker","The Awakening  ","Martin/ ","Baby Face","Davis  Akst/Stevens","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","2","1","1","1","B"
"04/08/2014","933-Tenor/Bass Chorus","8","Bryan High School ","","Bryan","Rob Urbanek","","Mira Jun","AAAAA","Varsity","","95027","If Music Be the Food of Love  ","Dickau/ ","Now the Powers of Heaven","Sheremetev","1. A Red  Red Rose (from Four Robert Burns Ballads)  ","Mulholland/ ","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","B"
"04/08/2014","933-Tenor/Bass Chorus","8","College Station High School","","College Station","Kearby Etheredge","","Cindy Hessong","AAA","Non-Varsity","","94365","Loch Lomond (TB)","Anon. or Trad./Rentz","Adoramus Te (from Two Renaissance Chorals For Men) (TBB)","Palestrina/Robinson","Keep Your Lamps","Victor Johnson","Malcolm Nelson","Laura Grametbaur","Tescille Riser","2","2","3","2","Larry Cigainero","Alexandra Neeley","Reginal Wright","2","2","2","2",""
"04/08/2014","933-Tenor/Bass Chorus","8","Rudder High School","","Bryan","Charlotte Angel","","Rebecca Carlton","AAAA","Varsity","","93741","Rise Up  My Love  My Fair One","McCray/ ","Down in the Valley","Anon. or Trad./Mead","O  Mister Moon","Val Hicks","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","2","3","2","2","1"
"04/08/2014","935-Treble Chorus","8","A&M Consolidated HS","","College Station","Travis Angel","","Judy Anderson","AAAAA","Non-Varsity","","93090","Cantate Domino! Alleluia! (Latin)","Miller/ ","Gloria Patri","Palestrina/Grason","Hello  Girls  ","Pfautsch/ ","Malcolm Nelson","Laura Grametbaur","Tescille Riser","3","3","3","3","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","2"
"04/08/2014","935-Treble Chorus","8","A&M Consolidated HS","","College Station","Travis Angel","","Judy Anderson","AAAAA","Varsity","","93089","I Thank You God (SSA)","Walker/ ","The Snow (SSA) (vln & piano)","Elgar/ ","O Sapo (SSSAA) (opt percussion)","Anon. or Trad./Hatfield","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","B"
"04/08/2014","935-Treble Chorus","8","Bryan High School ","","Bryan","Rob Urbanek","Alex Medlock","Mira Jun","AAAAA","Non-Varsity","","94993","Les berceaux (SSA)","Faure/Raines","Jesu Rex Admirabilis (Latin)","Palestrina/ ","Turn Thou to Me","Yukechev","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","2","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","C"
"04/08/2014","935-Treble Chorus","8","Bryan High School ","","Bryan","Alex Medlock","Rob Urbanek","Mira Jun","AAAAA","Varsity","","94874","Veni  Domine (SSA  sop solo)","Mendelssohn/Stone","See the Gypsies (SSAA)","Anon. or Trad./Kodaly","Weep No More","Childs","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","B"
"04/08/2014","935-Treble Chorus","8","College Station High School","","College Station","Kearby Etheredge","","Cindy Hessong","AAA","Non-Varsity","","94362","For The Beauty Of the Earth (SA) (flute)","Leininger/ ","Medieval Gloria (SA) (w/ hand drum)","Singh/ ","Sing for Joy","Handel/Spevacek","Malcolm Nelson","Laura Grametbaur","Tescille Riser","2","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","3","3","4","3","2"
"04/08/2014","935-Treble Chorus","8","College Station High School","","College Station","Kearby Etheredge","","Cindy Hessong","AAA","Varsity","","94358","How Can I Keep from Singing (SSA)","Anon. or Trad./Herrington","Gloria!","Rae Moses","I Am Not Yours (SSAA)","Childs/ ","Malcolm Nelson","Laura Grametbaur","Tescille Riser","1","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","1","1","B"
"04/08/2014","935-Treble Chorus","8","Rudder High School","","Bryan","Charlotte Angel","","Rebecca Carlton","AAAA","Non-Varsity","","93743","Hodie","Nancy Hill Cobb","How Beautiful is Night","Eddleman","Sing a Song of Sixpence","Mendoza","Malcolm Nelson","Laura Grametbaur","Tescille Riser","2","1","1","1","Larry Cigainero","Alexandra Neeley","Reginal Wright","1","1","2","1","C"
