UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2022","933-Tenor/Bass Chorus","12","Danville MS","046902048","New Braunfels","Jennifer Hoskins","","Shareen Vader","CC","Non-Varsity","B","168641","Sing Me a Song of a Lad That is Gone","Victor C. Johnson","Sea Remembrance","Laura Farnell","This Train","Donald Moore","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","D"
"03/07/2022","933-Tenor/Bass Chorus","12","Doris Miller MS","105902043","San Marcos","Mario Contreras","","Jody Bagley ","CC","Non-Varsity","","168520","The Shepherd's Spiritual","Moore","Dona Nobis Pacem","Farnell","Rest Not","Farnell","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","D"
"03/07/2022","933-Tenor/Bass Chorus","12","Goodnight MS","105902041","San Marcos","Savannah Sepulveda Bowen","","Jody Bagley","CC","Non-Varsity","","168964","Three Latin Songs (18500) (T(T)B)(perform number 1 or 3) (a cappella)","Farnell","She Walks in Beauty (16987) (TB) (accomp)","Farnell","Didn't My Lord Deliver Daniel?","Gilpin","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","2","2","2","2"
"03/07/2022","933-Tenor/Bass Chorus","12","New Braunfels MS","046901041","New Braunfels","Emily Evans","","Mary Clayton-Smith","CCC","Varsity","","171743","Arirang","Beery","Leave Her Johnny","Crocker","Dies Irae","Jones","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","C"
"03/07/2022","933-Tenor/Bass Chorus","12","Oak Run MS","046901042","New Braunfels ","Joshua Perez ","","Mary Clayton Smith","CC","Varsity","","171065","Leave her  Johnny","Emily Crocker","Eldorado","Glenda E. Franklin","Star of Light","Laura Farnell","Beth Casey","Heather Rosen","Leslie Tanner","1","1","2","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","2","2","2","2"
"03/07/2022","933-Tenor/Bass Chorus","12","Pieper Ranch MS","046902047","San Antonio","Elizabeth Ann Silvestre James","","Jennifer Zaccagni","CCC","Varsity","","170574","In Everything Her Loveliness (TB) (accomp)","Courtney","Kings' Processional","Debra Morton","Rest Not (17796) (TB) (accomp)","Farnell","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","C"
"03/07/2022","933-Tenor/Bass Chorus","12","Smithson Valley MS","046902041","Spring Branch","Natalie Dunckel","","Brian Duncan","CC","Non-Varsity","","171379","Codfish Shanty (15221) (accomp)","Anon. or Trad./Singh","I Will Lift My Eyes (12631) (a cappella)","Riley","Lil Liza Jane (19551) (TB) (accomp)","De Lachau/Baas and James","Beth Casey","Heather Rosen","Leslie Tanner","2","2","3","2","Kttty Amshoff","Sandy Shelley","Nancy West","4","3","3","3",""
"03/07/2022","935-Treble Chorus","12","Briesemeister MS","094901042","Seguin","Victoria Tambunga","","Shareen Vader","CC","Non-Varsity","","169113","Voice of the Sea","Farnell","Et in Terra Pax","Lightfoot","The Moon","Beck","Beth Casey","Heather Rosen","Leslie Tanner","1","2","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","D"
"03/07/2022","935-Treble Chorus","12","Canyon MS","046902042","New Braunfels","Katrina Bernhard","","","CCC","Non-Varsity","","172048","Gloria (from Gloria and Alleluia) (12063) (SA) (a cappella)","Schram","A la Nanita Nana (12285) (Spanish) (SA) (accomp)","Anon. or Trad./Eddleman","Winter Dream","Estes","Beth Casey","Heather Rosen","Leslie Tanner","1","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","D"
"03/07/2022","935-Treble Chorus","12","Church Hill MS","046902","New Braunfels","Melissa Lacy","","Shareen Vader","CC","Sub Non-Varsity","","169446","Two Roses","Suchoff/Bartok","The Book of Canons (#31 Laughing Singing)","Feierabend","Something Told the Wild Geese","Porterfield","Beth Casey","Heather Rosen","Leslie Tanner","2","1","1","1","Kttty Amshoff","Sandy Shelley","Nancy West","1","1","1","1","D"
