UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/06/2017","933-Tenor/Bass Chorus","1","deZavala MS","","Amarillo","Bryan Hackett","","Laura Lane","C","Varsity","","123777","The Sailor's Song  ","DeWitt/ ","Poor Wayfaring Stranger  ","Anon. or Trad./Estes","Battle Above the Clouds","Courtney","Tana Marks  ","Vicki Baker","Randall Walters","2","1","1","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","1","1","1","C"
"04/06/2017","933-Tenor/Bass Chorus","1","Fannin MS","","Amarillo","Kathie Brooks","","Mary Bush","CC","Non-Varsity","","124341","She Walks in Beauty (TB)","Farnell/ ","Three Latin Songs (T(T)B)(perform #1 or #3)","Farnell/ ","Rest Not (TB)","Farnell/ ","Tana Marks  ","Vicki Baker","Randall Walters","2","2","2","2","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","2","1","1","2"
"04/06/2017","933-Tenor/Bass Chorus","1","Mann MS","","Amarillo","Crystal Chambers","","Marcus Bradford","CC","Non-Varsity","","125759","Loch Lomond (TB)","Anon. or Trad./Rentz","Tallis's Canon (w/ or w/o accomp)","Tallis/Appleby/Fowler","Lil' Liza Jane (TB)","De Lachau/Baas & James","Tana Marks  ","Vicki Baker","Randall Walters","2","2","3","2","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","2","1","1","2"
"04/06/2017","933-Tenor/Bass Chorus","1","Pampa Junior High","","Pampa","Tammy May","Stacy Pepper","Suzanne Wood","CC","Non-Varsity","","124122","I Walk by the Sea  ","DeWitt/ ","Sinner Man (TB)","Anon. or Trad./Emerson","Down Among the Dead Men","Crocker","Tana Marks  ","Vicki Baker","Randall Walters","1","1","1","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","1","1","1","D"
"04/06/2017","933-Tenor/Bass Chorus","1","Perryton Junior High","","Perryton","Brian Warren","Keith Harris","Brenda Schnabel","CC","Varsity","","125706","My Heart's in the Highlands (TTB)","Beery/ ","Sing to the Lord  ","Crocker/ ","On the Deep  Blue Sea  ","Donnelly/Strid","Tana Marks  ","Vicki Baker","Randall Walters","1","2","1","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","2","2","2","2","2"
"04/06/2017","933-Tenor/Bass Chorus","1","Travis MS","","Amarillo","Nichole Wells","","Libby Clifton","CC","Non-Varsity","C","126384","Red River Valley (TB or TTB)","Anon. or Trad./Crocker/Leavitt","Come Travel With Me (TTB)","Farthing/ ","Hine Ma Tov","Arr. Lon Beery","Tana Marks  ","Vicki Baker","Randall Walters","2","2","2","2","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","2","3","3","3",""
"04/06/2017","933-Tenor/Bass Chorus","1","Westover Park JH","","Amarillo","Mika Daniels","","Doug McCause","CCC","Non-Varsity","","120817","Arirang (TTB)","Beery/ ","Canto del Agua (TTB)","Hill/ ","Steal Away (TTB or TBB)","Anon. or Trad./Siltman","Tana Marks  ","Vicki Baker","Randall Walters","DNA","DNA","DNA","DNA","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","DNA","DNA","DNA","DNA",""
"04/06/2017","935-Treble Chorus","1","Austin MS","","Amarillo","Rod Zeman","","Jeremy Duck","CC","Varsity","","124389","The River Sleeps Beneath the Sky (SSA)","Lightfoot/ ","A New Day  ","Snyder/ ","The Bells SSA","Leavitt","Tana Marks  ","Vicki Baker","Randall Walters","1","1","2","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","1","1","1","C"
"04/06/2017","935-Treble Chorus","1","Austin MS","","Amarillo","Rod Zeman","","Jeremy Duck","CC","Non-Varsity","","124388","A Festive Alleluia (SA)(SSA)","Lightfoot/ ","Antiphonal Kyrie (SA)","Thrift/ ","Something Told the Wild Geese (SA)","Anon. or Trad./Porterfield","Tana Marks  ","Vicki Baker","Randall Walters","1","1","1","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","1","1","1","D"
"04/06/2017","935-Treble Chorus","1","Bonham MS","","Amarillo","Lizabeth Manfredi","","Jim Rauscher","CC","Varsity","","125525","Laudate Dominum (SSA)","Mozart/Rentz","How Can I Keep From Singing? (SSA)","Lowery/Crocker","Jabberwocky (SSA)","Jennings","Tana Marks  ","Vicki Baker","Randall Walters","2","1","1","1","Laura Grametbaur	","Carol Powers","Wendy Weeks  ","1","1","1","1","C"
