UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/14/2015","931-Mixed Chorus","9","College Park HS","","The Woodlands","Erin Bodhaine","Katie McCravy","Ellen Klavan ","AAAAAA","Varsity","","105100","Placido e il mar (Italian)","Mozart/Wagner","Sleep (SATB div)","Whitacre/ ","I'll ay call in by yon town","Mack Wilberg","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Conroe High School","","Conroe ","Clay West","Celeste Matthews","Celeste Matthews","AAAAAA","Non-Varsity","","105241","Kyrie Eleison","Ruth Elaine Schram","Sound Forth The Trumpet In Zion","Thomas Morley/Proulx","Ain't that Good News","Moses Hogan","Joe Weir","Michael O'Hern","Dorothy Wilson","2","2","1","2","Stan McGill","Derrick Bready","Enrique Collazo","1","1","2","1","2"
"04/14/2015","931-Mixed Chorus","9","Conroe High School","","Conroe ","Clay West","","Celeste Matthews","AAAAAA","Varsity","","105238","Psalm 100 (Jauchzet dem Herrn  alle welt)","Felix Mendelssohn/Jordan","Alma Redemptoris Mater","Gyorgy Orban","The Coolin","Samuel Barber","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Dekaney High School","","Houston","Adavion Wayne","","","AAAAAA","Varsity","","105667","Zigeunerleben (German) (solos opt) (piano & percussion)","Schumann/Kaplan","Jenny Rebecca (SSATB)","Hall/McElfresh","The Word Was God","Powell","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","3","2","1"
"04/14/2015","931-Mixed Chorus","9","Hargrave High School","","Huffman","Brice Campbell","","Keith Lalonde","AAAA","Varsity","","105539","As Fair as Morn (SAB)","Wilbye/Haberlen","Musica Dei (The Gift of Music) (SSATB)","Porterfield/ ","Over the Sea to Skye (SATB)","Anon. or Trad./Robinson","Joe Weir","Michael O'Hern","Dorothy Wilson","2","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","2","2","2"
"04/14/2015","931-Mixed Chorus","9","Huntsville High School","","Huntsville ","Lauren Davis","","Sherri Barrett","AAAAA","Varsity","","102152","Christus Factus Est (Latin) (SAB) (continuo)","Carissimi/Klammer","Come  Let's Begin (SAB)","Weelkes/Wilson","Address to the Moon","John Purifoy","Joe Weir","Michael O'Hern","Dorothy Wilson","1","2","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Klein Collins High School","","Spring","Kasey Pope","Briana Kruse  Jordan Koenig","","AAAAAA","Varsity","","102475","Exultate Deo (Latin)","Scarlatti/Greyson","I Am Not Yours (SSATB)","Stroope/ ","Brooms (Veniki) (SATB)","Anon. or Trad./Rubtsov","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Klein Forest High School","","Houston","Anna Schermerhorn","Kandi Poole","Jane Malczewskyj","AAAAAA","Varsity","","104529","Festival Sanctus (Latin)","Leavitt/ ","The Silver Swan (SAATB)","Gibbons/ ","Rise Up  My Love  My Fair One (piano & flute)","McCray/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","2","2","2","2","Stan McGill","Derrick Bready","Enrique Collazo","3","3","3","3",""
"04/14/2015","931-Mixed Chorus","9","Klein High School","","Klein","Heather Sharp","Rheagan Blackwell","","AAAAAA","Varsity","","105730","Adoramus Te  Christe (SATB) (divisi)","Barnum/ ","Sudden Light (SATB divisi)","Young/ ","Daemon Irrepit Callidus  ","Orban/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Klein High School","","Klein","Heather Sharp","Rheagan Blackwell","Sharon Harrington","AAAAAA","Non-Varsity","","105726","Irish Blessing (SATB)","Patterson/ ","Come Again  Sweet Love (SAB)","Printz/ ","Didn't My Lord Deliver Daniel (SAB)","Anon. or Trad./Emerson","Joe Weir","Michael O'Hern","Dorothy Wilson","2","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","2","1","C"
"04/14/2015","931-Mixed Chorus","9","Klein Oak High School","","Spring","Michael Goede","","","AAAAAA","Varsity","","103779","Psalm 43 (Richte mich  Gott) (German) (SATB divisi)","Mendelssohn/Fuller","Sleep (SATB div)","Whitacre/ ","To the Mothers in Brazil: Salve Regina","Jansson/Ericksson","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Magnolia HS","","Magnolia","Jennifer Franz-Melady","","Kristi Cox","AAAAA","Varsity","","105529","Beatus Vir (SATB)","Haydn/Banner","Esto Les Digo (SATB  sop solo)","Lange/ ","The Ground","Gjeilo","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Magnolia West HS","","Magnolia","Sylvia Garza","","Kathy Robbins","AAAAA","Varsity","","105148","Let Beauty Awake  ","Larkin/ ","Tanzen und Springen","Hassler","With a Voice of Singing (SATB)","Shaw/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","2","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","2","2","1"
"04/14/2015","931-Mixed Chorus","9","Montgomery High School","","Montgomery","Heather Orr","Heather Orr and Nathan Walker","","AAAAAA","Non-Varsity","","105023","In Youth is Pleasure (SAB)","Crocker/Hagemann","Alleluia Jubilatio (3 part mixed)","Gilpin/ ","How Fair a Rose?  (from Three New Madrigals) (SAB)","Althouse/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","2","2","2"
"04/14/2015","931-Mixed Chorus","9","Montgomery High School","","Montgomery","Heather Orr","Nathan Walker","","AAAAAA","Varsity","","105020","Le Chant Des Oyseux (French)","Jannequin/ ","I Vostra'cuti dardi","Verdelot","La Chaparrita","Anon. or Trad./Tabbush","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Spring High School","","Spring","David Landgrebe","Chelsea Berner  Katherine Webb","Joseph Fuller","AAAAAA","Varsity","","100756","Suita scurta (Short Suite) (SATB) (2nd mvt only)","Pascanu/ ","I Am Not Yours","Childs","Shout to God (SATB)","Martin/","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","The Woodlands High School","","The Woodlands","Robert Horton","Patrick Newcomb","","AAAAAA","Varsity","","105177","A Red  Red Rose  ","Mulholland/Rodby","Surely He Hath Borne our griefs","Graun/Ehret","A Jubilant Song (ssaattbb)","Clausen/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Tomball High School","","Tomball","Lynn Brewer","","Michelle Willey","AAAAA","Varsity","","104626","Luci Care  Luci Belle (Italian) (SAB) (keyboard or inst)","Mozart/Carl","Jubilance  ","Spevacek/ ","Ya Viene La Vieja","","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","1","2","1"
"04/14/2015","931-Mixed Chorus","9","Tomball Memorial High School","","Tomball","Sherry Miller","","Stephen Shipman","AAAA","Varsity","","103568","Praise the Lord  ","Handel/Hopson","Ubi Caritas","Gjeilo","Festival Sanctus (Latin)","Leavitt/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","A"
"04/14/2015","931-Mixed Chorus","9","Westfield High School","","Houston","Steffanie Dean","Kendra Morgan","Stephen W Jones","AAAAAA","Varsity","","105685","Merrily We Live","arr. Razey","Ecco  Quel Fiero Istante","Mozart ","On This Day Join the Singing","arr. Liebergen","Joe Weir","Michael O'Hern","Dorothy Wilson","2","2","2","2","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","1"
"04/14/2015","931-Mixed Chorus","9","Willis High School","","Willisd","Ken Labonski","","Sarah Gray","AAAAA","Varsity","","103928","O Occhi Manza Mia","Russell Robinson","The Falcon (SAB)","Badarak/ ","Jubilate Deo (SAB)","Goemanne/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","2","2","2","Stan McGill","Derrick Bready","Enrique Collazo","1","2","2","2",""
"04/14/2015","933-Tenor/Bass Chorus","9","College Park HS","","The Woodlands","Erin Bodhaine","Katie McCravy","Ellen Klavan ","AAAAAA","Varsity","","105082","Herbstlied ","Robert Schumann/William D. Hall","Shenandoah (tenor solo) (piano or guitar)","Anon. or Trad./Shaw/Parker","I Hear a Voice A-Prayin'  ","Bright/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","B"
"04/14/2015","933-Tenor/Bass Chorus","9","Dekaney High School","","Houston","Adavion Wayne","Sarah Sibayan","","AAAAAA","Non-Varsity","","105668","Da Pacem Domine (TTB)","Franck/ ","Cantate Domino (TTB)(accomp opt)","Farnell/ ","Ose Shalom","Leavitt","Joe Weir","Michael O'Hern","Dorothy Wilson","2","2","2","2","Stan McGill","Derrick Bready","Enrique Collazo","2","3","2","2",""
"04/14/2015","933-Tenor/Bass Chorus","9","Klein Collins High School","","Spring","Jordan Koenig","Kasey Pope  Briana Kerner","Rebecca Combs","AAAAAA","Non-Varsity","A","105711","Lil' Liza Jane (TTB changing voices)","Anon. or Trad./Krunnfusz","I'm Bound Away  ","Anon. or Trad./Moore","Sing Me a Song of a Lad That Is Gone (TTB)","Porterfield/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","2","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","2","1","2","2"
"04/14/2015","933-Tenor/Bass Chorus","9","Klein Collins High School","","Spring","Kasey Pope","Jordan Koenig","Rebecca Combs","AAAAAA","Varsity","","102473","Brothers  Sing On! (TTBB)","Grieg/McKinney","Loch Lomond  ","Anon. or Trad./Duson","Ev'ry Time I Feel the Spirit","Hogan","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","B"
"04/14/2015","933-Tenor/Bass Chorus","9","Klein Oak High School","","Spring","Michael Goede","Austin Dean","Sherrie McMahon","AAAAAA","Non-Varsity","","103780","Star of the County Down (TTB)","Anon. or Trad./Wagner","Laudate Dominum (Psalm 117) (TB)","Davison/ ","The River (TBB)","DeWitt/ ","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","C"
"04/14/2015","933-Tenor/Bass Chorus","9","Magnolia HS","","Magnolia","Jennifer Franz-Melady","","Kristi Cox","AAAAA","Varsity","","105536","Betelehemu  ","Anon. or Trad./Whalum","Rise Up  O Men of God  ","Anon. or Trad./Jennings","Be Still  My Soul","Singley","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","2","1","2","2","1"
"04/14/2015","933-Tenor/Bass Chorus","9","Magnolia West HS","","Magnolia","Sylvia Garza","","Kathy Robbins","AAAAA","Varsity","","105150","Gloria in Excelsis Deo (from Gloria) (TTB)","Vivaldi/Porterfield","Drink to Me Only with Thine Eyes","Folk Song/Beery","Rise Up  O Men of God  ","Anon. or Trad./Jennings","Joe Weir","Michael O'Hern","Dorothy Wilson","2","1","2","2","Stan McGill","Derrick Bready","Enrique Collazo","3","3","3","3",""
"04/14/2015","933-Tenor/Bass Chorus","9","Montgomery High School","","Montgomery","Heather Orr","Nathan Walker","Nathan Walker","AAAAAA","Varsity","","96704","Two Liebeslieder Waltzes Op. 52 (German) (TB) (sing both)","Brahms/ ","The King Of Love My Shepherd Is (TTBB  solo) (piano or harp  flutes)","Anon. or Trad./Wilberg","The Promised Land (TBB)","Anon. or Trad./Kirk","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","B"
"04/14/2015","933-Tenor/Bass Chorus","9","Spring High School","","Spring","Chelsea Berner","David Landgrebe  Katherine Webb","","AAAAAA","Non-Varsity","","100849","Come Travel With Me (TTB)","Farthing/ ","She Walks in Beauty (TB)","Farnell/ ","Bonse Aba","arr. Johnson","Joe Weir","Michael O'Hern","Dorothy Wilson","1","2","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","C"
"04/14/2015","933-Tenor/Bass Chorus","9","Spring High School","","Spring","David Landgrebe","Chelsea Berner  Katherine Webb","Joseph Fuller","AAAAAA","Varsity","","100758","Riu  Riu  Chiu (TTBB  tenor soli) (tenor drum & tambourine)","Anon. or Trad./Leininger","The Awakening  ","Martin/ ","III. Wait for the Wagon","Buckley/arr. Hunter & Shaw","Joe Weir","Michael O'Hern","Dorothy Wilson","1","1","1","1","Stan McGill","Derrick Bready","Enrique Collazo","1","1","1","1","B"
