UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/20/2010","931-Mixed Chorus","26","Cedar Park High School","","Cedar Park","Beth Gove","Lisa Holt","Julie Boltz","AAAAA","Varsity","","51345","Oh Lord In Thee Have I Trusted","Handel/Malin","I Love My Love","Folksong/Holst","Praise The Name Of God With A Song","Koepke","Vicki Baker","Craig Jones","Randy Talley","1","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
"04/20/2010","931-Mixed Chorus","26","Elgin HS","","Elgin","Courtney Brock","","","AAAA","Non-Varsity","","56519","Salmo 150 ","Aguiar","The Pasture (No. 2 from Where the Earth Meets the Sky) (SATB)","Stroope","All Too Soon","Hatfield","Vicki Baker","Craig Jones","Randy Talley","2","2","3","2","Daniel Arrendondo","Eric Hindman","Barry Talley","2","3","3","3",""
"04/20/2010","931-Mixed Chorus","26","Georgetown High School","","Gerogetown","Joey Lowrance","","Barbara Lowrance","AAAAA","Varsity","","58118","Hodie Christus Natus Est (Latin) (SSATB) (w/ or w/o accomp)","Sweelinck/Squire  ","Laudate Pueri (from Vesperae solemnes de confessore) (Latin)","Mozart","Do Not Stand At My Grave and Weep","Farnell","Vicki Baker","Craig Jones","Randy Talley","1","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
"04/20/2010","931-Mixed Chorus","26","Hutto High School","","Hutto","Roseanne Kokas","","Stephen McElroy","AAAA","Varsity","","53828","Kyrie Eleison (3 part mixed)","Schram","Close Now Thine Eyes (SATB)","Gawthrop","Oh  Sinner Man","Arr. Becki Slagle Mayo","Vicki Baker","Craig Jones","Randy Talley","2","1","3","2","Daniel Arrendondo","Eric Hindman","Barry Talley","3","3","3","3",""
"04/20/2010","931-Mixed Chorus","26","Lake Travis High School","","Austin","Kelan Latimer","","Lisa Keathley","AAAA","Non-Varsity","","56559","Come to the Music (SSATTB) (piccolo & percussion required)","Martin","Salmo 150 ","Aguiar","Set Me As a Seal","Leavitt","Vicki Baker","Craig Jones","Randy Talley","2","2","2","2","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","2"
"04/20/2010","931-Mixed Chorus","26","Leander High School","","Leander","Brian Davis","","Gordon Sparber","AAAAA","Varsity","","53785","Dessus le marche d'Arras (SSATTB) (sing 1 & 2) (w/ percussion)","di Lasso/Erb  ","Crucifixus (Latin) (SATB divisi)","Lotti/Damrosch  ","'Overture' from Barber of Seville","","Vicki Baker","Craig Jones","Randy Talley","2","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
"04/20/2010","931-Mixed Chorus","26","Marble Falls High School","","Mable Falls","Bryce Gage","","Jennie Lynn Hodges","AAAA","Varsity","","58600","Placido e il mar (Italian)","Mozart/Wagner  ","Ave Maria (Latin) (w/ or w/o accomp)","Busto ","Zum Gali (Dance the Hora!)  (SATB divisi)","Anon. or Trad./Goldman  ","Vicki Baker","Craig Jones","Randy Talley","1","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
"04/20/2010","931-Mixed Chorus","26","McNeil High School","","Austin","Bradley Hester","","Laura Blackwood","AAAAA","Non-Varsity","","58403","Festival Sanctus (Latin)","Leavitt","At Night (German) ","Brahms","Gloria!","Spevacek","Vicki Baker","Craig Jones","Randy Talley","1","1","2","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","2","1","C"
"04/20/2010","931-Mixed Chorus","26","McNeil High School","","Austin","Bradley Hester","","Laura Blackwood","AAAAA","Varsity","","57703","Exultate Deo (Latin)","Scarlatti/Agey  ","The Battle of Jericho (SATB divisi)","Anon. or Trad./Hogan  ","Flower of Beauty (SATB divisi)","Clements","Vicki Baker","Craig Jones","Randy Talley","1","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
"04/20/2010","931-Mixed Chorus","26","Round Rock High School","","Round Rock","Tod Fish","","Stephanie Rodriguez","AAAAA","Varsity","","53048","La mi sola  Laureola","Ponce","Esto Les Digo (SATB  sop solo)","Lange","Zigeunerleben (German) (solos opt) (piano & percussion)","Schumann/Kaplan","Vicki Baker","Craig Jones","Randy Talley","1","1","1","1","Daniel Arrendondo","Eric Hindman","Barry Talley","1","1","1","1","A"
