UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/06/2007","931-Mixed Chorus","11","Coke R. Stevenson Middle School","","San Antonio","Jason Brown","","","CCC","Varsity","","28154","Gloria","Corteccia/Snyder","Hope Is the Thing With Feathers (SAB)","Hollmann","O Love Divine (SAB) (keyboard)","Marcello/Wagner","Karla Andersen","Sherry Miller","Amanda Robinson","2","1","1","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
"03/06/2007","933-Tenor/Bass Chorus","11","Ed Rawlinson Middle School","","San Antonio","Marian Cates","","","CCC","Non-Varsity","","26981","The Captain's Mate","Besig & Price","Star of the East ","Crocker","This Train ","Moore (arr)","Karla Andersen","Sherry Miller","Amanda Robinson","1","2","1","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
"03/06/2007","933-Tenor/Bass Chorus","11","H. B. Zachry M. S.","","San Antonio","Karen E. Seiffert","","","CCC","Non-Varsity","","27654","Aura Lee ","Poulton/Crocker (arr)","Leave Her  Johnny (TB or TTB)","Crocker (arr)","Babylon's Falling ","Follett (arr)","Karla Andersen","Sherry Miller","Amanda Robinson","2","1","1","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
"03/06/2007","933-Tenor/Bass Chorus","11","Hal Peterson Middle School","","Kerrville","Karen Billingsley","","","CCC","Non-Varsity","","28538","I've Been Working On the Railroad ","Follett (arr)","Leave Her  Johnny (TB or TTB)","Crocker (arr)","Who Threw The Overalls In Missus Murphy's Chowder? ","Follett (arr)","Karla Andersen","Sherry Miller","Amanda Robinson","","","","","Tracy Wooten *","Joel Price","Wendy Wright","","","","",""
"03/06/2007","933-Tenor/Bass Chorus","11","Jordan Middle School","","San Antonio","Jenny Ongena","","","CCC","Non-Varsity","","28105","Star of the East ","Crocker","This Train ","Moore (arr)","Codfish Shanty ","Singh (arr)","Karla Andersen","Sherry Miller","Amanda Robinson","2","2","2","2","Tracy Wooten *","Joel Price","Wendy Wright","2","2","2","2",""
"03/06/2007","933-Tenor/Bass Chorus","11","Katherine Stinson Middle School","","San Antonio ","Bette Fisher","","","CCC","Non-Varsity","","27633","Battle Cry of Freedom (TB)","DeWitt (arr)","Hand Me Down My Silver Trumpet ","Moses (arr)","She's Like the Swallow","Farnell","Karla Andersen","Sherry Miller","Amanda Robinson","1","1","2","1","Tracy Wooten *","Joel Price","Wendy Wright","2","2","2","2",""
"03/06/2007","935-Treble Chorus","11","Bandera Middle School","","Bandera","Marc Laine","","","CC","Varsity","","28410","We Will Praise You (3rd part optional)","Praetorius/Wagner","The Moonflower (SA) (flute/piano opt.)","DeWitt","My Mountain Home (SA)","DeWitt","Karla Andersen","Sherry Miller","Amanda Robinson","3","3","3","3","Tracy Wooten *","Joel Price","Wendy Wright","2","2","2","2",""
"03/06/2007","935-Treble Chorus","11","Coke R. Stevenson Middle School","","San Antonio","Jason Brown","","","CCC","Varsity","","28101","Indian Summer (SA or SSA)","Crocker/Leavitt","Autumn Song ","Butler","Wintersong (SSA)","Snyder","Karla Andersen","Sherry Miller","Amanda Robinson","1","1","1","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
"03/06/2007","935-Treble Chorus","11","Coke R. Stevenson Middle School","","San Antonio","Jason Brown","","","CCC","Non-Varsity","","28100","Spring Quiet (SA)","Crocker/Leavitt","Cripple Creek (SA)","Crocker (arr)","All The Pretty Little Horses (2-part) (keyboard and percussion)","Artman","Karla Andersen","Sherry Miller","Amanda Robinson","2","2","2","2","Tracy Wooten *","Joel Price","Wendy Wright","2","2","2","2",""
"03/06/2007","935-Treble Chorus","11","Connally Middle School","","San Antonio","Laurie Flowers","","","CCC","Non-Varsity","","28225","I Heard A Bird Sing","Cyndee Giebler","Zum Gali Gali ","Terri (ed)","Walking at Night (from Three Czech Folk Songs) (2-part)","Shaw (arr)","Karla Andersen","Sherry Miller","Amanda Robinson","2","1","1","1","Tracy Wooten *","Joel Price","Wendy Wright","2","1","1","1","*"
"03/06/2007","935-Treble Chorus","11","Connally Middle School","","San Antonio","Laurie Flowers","","","CCC","Varsity","","27577","Fog (3-part)","Snyder","Au clair de la lune ","Crocker (ed)","Dodi Li (SA  solo optional)","Chen/Rao (ed)","Karla Andersen","Sherry Miller","Amanda Robinson","1","1","2","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
"03/06/2007","935-Treble Chorus","11","Earl Rudder Middle School","","San Antonio","Kathy Settles-Horejsi","","","CCC","Varsity","","26995","Jubilate! (2-part)","Curtright","Love In Thy Youth (SA)","Crocker/Leavitt","Night Song (SA)","Hester","Karla Andersen","Sherry Miller","Amanda Robinson","3","2","2","2","Tracy Wooten *","Joel Price","Wendy Wright","2","3","3","3",""
"03/06/2007","935-Treble Chorus","11","Ed Rawlinson Middle School","","San Antonio","Marian Cates","","","CCC","Varsity","","26982","Some Folks (2-part)","Foster/Krone","Plaisir d'Amour (French)","Martini/Strommen (arr)","Shimmering","Thomas","Karla Andersen","Sherry Miller","Amanda Robinson","1","1","1","1","Tracy Wooten *","Joel Price","Wendy Wright","1","1","1","1","*"
