UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/08/2016","931-Mixed Chorus","23","Johnston MS","","Houston","Laurie Conner","","Diane  Grosscope","CCC","Varsity","","108019","Jubilance  ","Spevacek/ ","Never Tell Thy Love","Bright/ ","Do Not Stand At My Grave and Weep","Farnell/ ","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","C"
"03/08/2016","933-Tenor/Bass Chorus","23","Beck JH","","Katy","Mark Palombo","","Fannie Scott","CCC","Varsity","","108460","Leave Her  Johnny","Arr. Crocker","Colorado Trail","Moore","Sing a Mighty Song!","Gilpin","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","C"
"03/08/2016","933-Tenor/Bass Chorus","23","Beckendorff JH","","Katy","Elizabeth Tait","","Rebecca Combs","CCC","Varsity","","108532","Viva Tutti","Ralph Hunter","Gloria","Dan Davison","I Think My Love So Fair","Laura Farnell","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","C"
"03/08/2016","933-Tenor/Bass Chorus","23","Cardiff JH","","Katy","Ellen R Hoyle","Erin Hallford","Bev Wanner","CC","Non-Varsity","","109025","Loch Lomond","Earlene Rentz","None of Us Cared For Kate","Laura Farnell","Hand Me Down My Silver Trumpet","Rae Moses","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","2","1","1","D"
"03/08/2016","933-Tenor/Bass Chorus","23","Cinco Ranch Junior High","","Katy","Judy Bou Kheir","","Barbara Jones","CCC","Varsity","","109303","Let's Drink! (Beviamo!) (Italian) (TTB)","de Giardini/Tortolano","Shoshone Love Song (TBB)","Emerson/ ","Fillimiooriay (TTB)","Anon. or Trad./Beery","Keith Brumfield","John Hemmenway","Danielle Travis","2","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","C"
"03/08/2016","933-Tenor/Bass Chorus","23","Johnston MS","","Houston","Kristine Lytle","","Diane Grosscope","CCC","Non-Varsity","","109286","Leave Her  Johnny","Crocker","I'm Bound Away","Patterson","Yonder Come Day","Tucker","Keith Brumfield","John Hemmenway","Danielle Travis","2","2","2","2","Cynthia Douglas","Julia Forsyth","Gregory Morgan","DQ","DQ","DQ","DQ",""
"03/08/2016","933-Tenor/Bass Chorus","23","Johnston MS","","Houston","Laurie Conner","","Diane Grosscope","CCC","Varsity","","108021","A Red  Red Rose  ","Crocker/ ","Seeing Nellie Home (TTB  opt divisi)","Kyle/Crocker","Workin' on the Railroad","Donald Moore","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","2","1","1","1","C"
"03/08/2016","933-Tenor/Bass Chorus","23","Katy JH","","Katy","Robert Miles","Mischa Brinkmeyer  Kerianne Wright","Beverly Wanner","CCC","Non-Varsity","","110303","Colorado Trail","Anon. or Trad./Moore","Viva Tutti","Anon. or Trad/Hunter","She's Like the Swallow","Anon. or Trad./Farnell","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","D"
"03/08/2016","933-Tenor/Bass Chorus","23","McDonald JH","","Katy","Tad Griffin","","Lisa Gisler","CCC","Varsity","","110467","Rest Not","Farnell","Sons of Art","Crocker","Laudamus Dominum","Davison","Keith Brumfield","John Hemmenway","Danielle Travis","2","3","2","2","Cynthia Douglas","Julia Forsyth","Gregory Morgan","4","4","3","4",""
"03/08/2016","933-Tenor/Bass Chorus","23","Memorial Parkway JH","","Katy","Alex Lathrom","","TBA","CC","Non-Varsity","","109911","Set Me As a Seal Upon Your Heart (TB)","Farnell/ ","Sons Of Art  ","Anon. or Trad./Crocker/Leavitt","What Shall We Do With A Drunken Sailor","Gary Parks","Keith Brumfield","John Hemmenway","Danielle Travis","1","1","1","1","Cynthia Douglas","Julia Forsyth","Gregory Morgan","1","1","1","1","D"
