UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/06/2010","931-Mixed Chorus","4","Canton High School","","Canton","Linda Foster","","Reeves","AAA","Varsity","","57530","My Heart's In the Highlands ","Moore","Jamais Je N'aimerai Grand Homme (French)","Anon. or Trad./Anderson","Veni Jesu ","Cherubini/Riegger  ","Brenda Justice","Duncan McMahan","Michael Hitt","2","1","2","2","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","1"
"04/06/2010","931-Mixed Chorus","4","Ford High School","","Quinlan","Judith McCarty","","Barbie Pruitt","AAA","Varsity","","56964","Lo Yissa Goy ","Andy Beck  ","O occhi manza mia (Italian)","di Lasso/Klein","Der Tanz (German) ","Schubert/Robinson","Brenda Justice","Duncan McMahan","Michael Hitt","1","2","2","2","Michael Senter","Bryce Gage","Nancy Cavendish","2","2","2","2",""
"04/06/2010","931-Mixed Chorus","4","Gilmer High School","","Gilmer","Jordan Ricks","","Bill Marshall","AAA","Varsity","","54472","What Sweeter Music (guitar  piano or harp; & triangle)","Fink","Chester (also pub separately) ","Billings","Kyrie from Mass in G","Schubert","Brenda Justice","Duncan McMahan","Michael Hitt","1","1","1","1","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","A"
"04/06/2010","931-Mixed Chorus","4","Greenville High School","","Greenville","William Witwer","","Maggie Morrison","AAAA","Non-Varsity","A","54989","When I Was One and Twenty (SAB)","Rhein","April Is In My Mistress' Face (SAB)","Morley/Robinson  ","Sing Forever to the Lord (SAB)","Paige","Brenda Justice","Duncan McMahan","Michael Hitt","1","1","1","1","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","C"
"04/06/2010","931-Mixed Chorus","4","Greenville High School","","Greenville","William Witwer","","Maggie Morrison","AAAA","Varsity","","54984","Der Tanz (German) ","Schubert/Robinson","I Will Arise ","Anon. or Trad./Shaw/Parker  ","Seal Lullaby","Eric Whitacre","Brenda Justice","Duncan McMahan","Michael Hitt","1","1","1","1","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","A"
"04/06/2010","931-Mixed Chorus","4","Hughes Springs High School","","Hughes Springs","Michael Williams","","","","Varsity","","57505","3. Springtime Mantleth Every Bough (from Madrigals from the XVIIth Century  Set II) (SAB) ","Anon. or Trad./McKinney","Oh  my love's like a red  red  rose","Coulter","Luci Care  Luci Belle (Italian) (SAB) (keyboard or inst)","Mozart/Carl  ","Brenda Justice","Duncan McMahan","Michael Hitt","2","2","2","2","Michael Senter","Bryce Gage","Nancy Cavendish","4","4","5","4",""
"04/06/2010","931-Mixed Chorus","4","Jefferson High School","","Jefferson","Rachel Farley","","Glennda Abraham","AA","Non-Varsity","","55513","Rise Up In Festive Song (SAB) (opt hand drum & finger cymbals or triangle)","Clereau/Liebergen  ","Kyrie (SAB)","Klouse","Remember My Song","Albrecht & Althouse","Brenda Justice","Duncan McMahan","Michael Hitt","1","1","2","1","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","C"
"04/06/2010","931-Mixed Chorus","4","Liberty-Eylau High School","","Texarkana","Sherilyn Stewart","","","CC","Varsity","","55502","The River Sleeps Beneath the Sky","Lightfoot","Shalom Aleichem (Hebrew) (SAB)","Goldfarb/Aldema  ","Ye Followers of the Lamb (SSAATB)","Anon. or Trad./Ferguson  ","Brenda Justice","Duncan McMahan","Michael Hitt","2","2","2","2","Michael Senter","Bryce Gage","Nancy Cavendish","1","2","1","1","1"
"04/06/2010","931-Mixed Chorus","4","Marshall High School","","Marshall","Sandi Parks","Natalie Talty","Glennda Abraham","AAAA","Varsity","","57942","Alma Redemptoris Mater (Latin)","Palestrina/Eder  ","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen ","Muie Rendera (Portuguese) (SSATB)","Fonseca","Brenda Justice","Duncan McMahan","Michael Hitt","1","1","1","1","Michael Senter","Bryce Gage","Nancy Cavendish","1","1","1","1","A"
"04/06/2010","931-Mixed Chorus","4","North Lamar High School","","Paris","Rebecca Hildreth","","Shanda Boswell","AAA","Varsity","","56231","Domine Deus","Regnart","Away from the Roll of the Sea","MacGillivray","Festival Sanctus (Latin)","Leavitt","Brenda Justice","Duncan McMahan","Michael Hitt","1","2","2","2","Michael Senter","Bryce Gage","Nancy Cavendish","2","2","2","2",""
