UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/08/2014","931-Mixed Chorus","9","College Park HS","","The Woodlands","Erin Bodhaine","Jonathan Richmond","Ellen Klavan","AAAAA","Varsity","","93838","Awake The Harp (from The Creation) (tenor recitative)","Haydn/Neuen","Laudate (SATB div) (Latin)","Nystedt/ ","The Bells  ","Ahrold/ ","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","A"
"04/08/2014","931-Mixed Chorus","9","Conroe High School","","Conroe ","Clay West","","None","AAAAA","Varsity","","94050","O Magnum Mysterium (Latin)","Poulenc","Sweet Honey-Sucking Bees","Wilbye","My Flight for Heaven (SATB div)","Henson","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","A"
"04/08/2014","931-Mixed Chorus","9","Conroe High School","","Conroe ","Clay West","","Celeste Matthews","AAAAA","Non-Varsity","","94047","Ma Navu (Hebrew) ","Anon. or Trad./Snyder","Cantate Domino ","Snyder","Come Live With Me and Be My Love ","Gilpin","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","2","2","2","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","2"
"04/08/2014","931-Mixed Chorus","9","Dekaney High School","","Houston","Adavion Wayne","","Karen Brewer","AAAAA","Varsity","","95210","My Spirit Sang All Day","Finzi","Sing Me To Heaven","Gawthrop","Ain't Got Time To Die","Hall Johnson","Edie Cooksey","Michael Madrid","Fernando Fernandez","2","2","1","2","Woody Christman","Tina Bernard","Andre Clark","2","3","2","2",""
"04/08/2014","931-Mixed Chorus","9","Hargrave High School","","Huffman","Brice Campbell","","Brianna Wolfe","AAA","Varsity","","93639","Hope Is the Thing With Feathers (SATB)","Potter/ ","Do Not Stand At My Grave and Weep (SATB)","Farnell/ ","Exsultate justi in Domino (SATB)","Adams/ ","Edie Cooksey","Michael Madrid","Fernando Fernandez","2","2","2","2","Woody Christman","Tina Bernard","Andre Clark","DQ","DQ","DQ","DQ",""
"04/08/2014","931-Mixed Chorus","9","Huntsville High School","","Huntsville ","Lauren Davis","","Kaju Li","AAAA","Varsity","","90473","Ani Ma Amin (SATB) (piano or opt inst)","Anon. or Trad./Leavitt","Amours Ont Change De Facon","Leininger","The Cloths Of Heaven  ","Stroope/ ","Edie Cooksey","Michael Madrid","Fernando Fernandez","2","1","2","2","Woody Christman","Tina Bernard","Andre Clark","1","2","1","1","1"
"04/08/2014","931-Mixed Chorus","9","Klein Collins High School","","Spring","Kasey Pope","","","AAAAA","Varsity","","93256","Il est Bel et Bon (French) (w/ or w/o accomp)","Passereau/Faure/Greyson","Dawn (SATB)","Barnum/ ","Muie Rendera (Portuguese) (SSATB)","Fonseca/ ","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","A"
"04/08/2014","931-Mixed Chorus","9","Klein Forest High School","","Houston","Anna Schermerhorn","","Jane Malczewskyj","AAAAA","Varsity","","95145","Se Lontan  Ben Mio  Tu Sei (Italian) (SAB) (3 clarinets)","Mozart/ ","Adoramus Te (SATB)","Bennett/ ","Cafe De Chinitas","Hatfield","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","2","1","1","A"
"04/08/2014","931-Mixed Chorus","9","Klein High School","","Klein","Heather Sharp","","None","AAAAA","Varsity","","94694","At the Round Earth's Imagined Corners (SAATTBB)","Spencer/ ","Lux Aurumque (SATB)","Whitacre/ ","Loch Lomond","Arr. Quick","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","A"
"04/08/2014","931-Mixed Chorus","9","Klein Oak High School","","Spring","Michael Goede","Lisa Holt","Sherrie McMahon","AAAAA","Varsity","","93106","Laudate Pueri (from Vesperae solemnes de confessore) (Latin)","Mozart/ ","Blessed Are the Pure of Heart (Selig Sind Die Reines Herzens Sind) (German) (keyboard)","Voullaire/Kope","A Jubilant Song (ssaattbb)","Clausen/ ","Edie Cooksey","Michael Madrid","Fernando Fernandez","1","1","1","1","Woody Christman","Tina Bernard","Andre Clark","1","1","1","1","A"
