UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/08/2009","931-Mixed Chorus","6","Andrews High School","","Andrews","Jody Keesee","Michael Matlock","","AAA","Non-Varsity","","46558","Gaudeamus Hodie","Earlene Rentz","How Fair a Rose?  (from Three New Madrigals) (SAB)","Althouse","Now Thank We All Our God (SAB)","Bach/Hopson","Sharon Paul","Randy Jordan","Judy McEnany","1","2","2","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","2","1","1","1","2"
"04/08/2009","931-Mixed Chorus","6","Andrews High School","","Andrews","Michael D. Matlock","Jody Keesee","Ann Hogan","AAA","Varsity","","43151","The White Moon","Butler","Early One Morning ","Anon. or Trad./Cain  ","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen","Sharon Paul","Randy Jordan","Judy McEnany","1","1","1","1","Dennis Richardson","Gloria Stevens","Tim Vaughn","1","1","1","1","A"
"04/08/2009","931-Mixed Chorus","6","Big Spring High School","","Big Spring","Jeanine Fishback","","Ruth Jackson","AAAA","Varsity","","46970","Festival Gloria ","Porterfield","She's Like the Swallow (SATB)","Anon. or Trad./Lock  ","Wayfaring Stranger","Folk Hymn/Rentz","Sharon Paul","Randy Jordan","Judy McEnany","2","2","2","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","4","4","3","4",""
"04/08/2009","931-Mixed Chorus","6","Central High School","","San Angelo","Les Cole","","Diane Deatheridge","AAAAA","Varsity","","48390","Haec dies (This Is the Day) (SSATTB)","Byrd/King's Singers","Duerme ","Anon. or Trad./Noble  ","Go  Lovely Rose (SATB)","Whitacre","Sharon Paul","Randy Jordan","Judy McEnany","1","1","1","1","Dennis Richardson","Gloria Stevens","Tim Vaughn","1","1","1","1","A"
"04/08/2009","931-Mixed Chorus","6","Fort Stockton HS","","Fort Stockton","S. gennette","","Beverly Olsen","AAA","Varsity","","45681","Away from the Roll of the Sea ","MacGillivray","Bone Pastor","G.P.  Palestrina","Gloria in Excelsis Deo (keyboard)","Vivaldi/Thomas","Sharon Paul","Randy Jordan","Judy McEnany","2","2","2","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","2","3","3","3",""
"04/08/2009","931-Mixed Chorus","6","Kermit High School","","Kermit","Vicki Pigmon","","Ann Graves","AA","Varsity","","45205","Charlottown ","Anon. or Trad./Christiansen  ","Banks of Doon (vln)","Schultz","Omnia Sol","Z. Randall Stroope","Sharon Paul","Randy Jordan","Judy McEnany","2","2","2","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","3","3","2","3",""
"04/08/2009","931-Mixed Chorus","6","Lee Freshman High School","","Midland","Beth Garza and Craig Griffith","","Karen Blackstone","AAAAA","Non-Varsity","","47339","Keep Your Lamps! (conga drums)","Anon. or Trad./Thomas   ","Ubi Caritas","Snyder","Haec Dies ","Adams","Sharon Paul","Randy Jordan","Judy McEnany","1","1","1","1","Dennis Richardson","Gloria Stevens","Tim Vaughn","2","2","1","2","2"
"04/08/2009","931-Mixed Chorus","6","Midland High School","","Midland","Paula Knight","Sara Fowler","Jeff Thames","AAAAA","Varsity","","45619","O Magnum Mysterium","Victoria","Ye Followers of the Lamb","Ferguson","Gloria","Vivaldi","Sharon Paul","Randy Jordan","Judy McEnany","2","2","1","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","1","2","1","1","1"
"04/08/2009","931-Mixed Chorus","6","Monahans HS","","Monahans","James Coldewey","","Conda Lee","AAA","Varsity","","46708","Let Beauty Awake ","Larkin","Hear My Prayer (SATB divisi)","Hogan","Sing Out Your Joy ","Crocker","Sharon Paul","Randy Jordan","Judy McEnany","2","2","2","2","Dennis Richardson","Gloria Stevens","Tim Vaughn","1","2","2","2",""
"04/08/2009","931-Mixed Chorus","6","Odessa HS - Choir","","Odessa","Shari Riley","","Marisa Warren","AAAAA","Varsity","","49336","Veni Creator Spiritus (Latin)","Haydn/Banner  ","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen ","Go and Tell John (SSATB)","Pfautsch","Sharon Paul","Randy Jordan","Judy McEnany","1","1","1","1","Dennis Richardson","Gloria Stevens","Tim Vaughn","1","1","2","1","A"
