UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/10/2011","931-Mixed Chorus","5","Central Junior High","","Euless","Lorelai Cole","Randy Yeats","Micheal Dean","BBB","Varsity","","61180","Erev shel shoshanim (Hebrew)","Anon. or Trad./Klebanow   ","Veni Jesu ","Cherubini/Riegger  ","Praising Song ","Curtis","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","1","1","1","1","Evans  Stephen","Flores  Kelly","Hemmenway  John","1","1","1","1","C"
"03/10/2011","931-Mixed Chorus","5","Euless Jr. High School","","Euless","Valerie Rogers","","Randy Norris","BBB","Varsity","","61199","Cantate Hodie","Lightfoot","O Occhi Manza Mia","Di Lasso","The Turtle Dove","Rentz","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","2","3","2","2","Evans  Stephen","Flores  Kelly","Hemmenway  John","1","2","1","1","2"
"03/10/2011","931-Mixed Chorus","5","Harwood Jr. High School","","Bedford","Jeanne Gunn","","Michael Dean","BBB","Varsity","","60885","Still Wie Die Nacht","Bohm/Hagemann","Three Hungarian Folk-Songs-(#1-The Handsome Butcher)","Seiber","Ma Navu","arr. Snyder","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","1","1","1","1","Evans  Stephen","Flores  Kelly","Hemmenway  John","1","1","1","1","C"
"03/10/2011","931-Mixed Chorus","5","Hurst Jr. High School","","Hurst","jeanene craig","","Candiss Krug","BBB","Varsity","","61122","Alleluia (SAB or SATB)","Mozart/Leavitt","Madrigal of Joy (a cappella)","Spevacek","Laudate Dominum","Porterfield","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","3","3","3","3","Evans  Stephen","Flores  Kelly","Hemmenway  John","4","4","3","4",""
"03/10/2011","933-Tenor/Bass Chorus","5","Bedford Jr. High School","","Bedford","Rebecca Aune","","Kathy Monson","BBB","Non-Varsity","","60991","Sons of Art","Emily Crocker","She Walks in Beauty","Laura Farnell","Hand Me Down My Silver Trumpet","Rae Moses","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","3","2","2","2","Evans  Stephen","Flores  Kelly","Hemmenway  John","2","2","2","2",""
"03/10/2011","933-Tenor/Bass Chorus","5","Central Junior High","","Euless","Lorelai Cole","","Micheal Dean","BBB","Non-Varsity","","61188","Jubilate Deo (TB) (Latin)","Mozart/Spevacek","The Feast (from Three Knight Songs) (opt drum) ","Juneau","The Knight and the Dragon","Snyder","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","2","1","1","1","Evans  Stephen","Flores  Kelly","Hemmenway  John","2","2","2","2","2"
"03/10/2011","933-Tenor/Bass Chorus","5","Central Junior High","","Euless","Lorelai Cole","","Micheal Dean","BBB","Varsity","","61182","A la nanita nana","Berg","So Wahr Die Sonne Scheinet (German) (TB)","Schumann/Leavitt","African Noel (percussion) (TTB)","Anon. or Trad./Johnson","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","1","1","1","1","Evans  Stephen","Flores  Kelly","Hemmenway  John","1","1","1","1","C"
"03/10/2011","933-Tenor/Bass Chorus","5","Euless Jr. High School","","Euless","Valerie Rogers","","Randy Norris","BBB","Varsity","","61204","Colorado Trail","Moore","Blow That Trumpet  Gabriel","DeWitt","My Wild Irish Rose","Gilpin","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","2","2","2","2","Evans  Stephen","Flores  Kelly","Hemmenway  John","2","2","3","2",""
"03/10/2011","933-Tenor/Bass Chorus","5","Euless Jr. High School","","Euless","Valerie Rogers","","Randy Norris","BBB","Non-Varsity","","61203","The Rio Grande","Parks","Sons of Art","Crocker","Come On  Boys","Bailey","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","3","3","2","3","Evans  Stephen","Flores  Kelly","Hemmenway  John","4","4","4","4",""
"03/10/2011","933-Tenor/Bass Chorus","5","Harwood Jr. High School","","Bedford","Jeanne Gunn","","Michael Dean","BBB","Varsity","","60886","Sing to the Lord","Crocker","Boatmen Stomp","Gray","Three Contemporary Latin Settings-(#2-Adoramus Te)"," Estes","Cotten  Melinda","Douglas  Deidre","Jarvis  Dianna","1","1","1","1","Evans  Stephen","Flores  Kelly","Hemmenway  John","2","1","1","1","C"
