UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/23/2021","931-Mixed Chorus","2","Argyle High School","","Argyle","Will Griswold","","N/A","AAAA","Varsity","","163495","At the Round Earth`s Imagined Corners (SAATTBB) (a cappella)","Spencer","Sing Me to Heaven (a cappella)","Gawthrop","Wipip!!!","Guillaume ","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","A"
"04/23/2021","931-Mixed Chorus","2","Decatur High School","","Decatur","Chris Yurasek","","Jeffrey Ou","AAAA","Varsity","","166905","Exultate Justi (SA(T)B) (accomp)","Davison","II. Take  O take those lips away (from Three Madrigals) (accomp)","Diemer","Caritas Abundat","Trotta","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","A"
"04/23/2021","931-Mixed Chorus","2","Era High School","","Era","Valerie Burns","","Joanna Jones","AA","Varsity","","166870","Sing We and Chant It (3 part mixed) (a cappella)","Morley/Robinson","River  Sing Your Song (piano) (3 part mixed) (accomp)","Butler/Davenport","Festival Sanctus","Leavitt","Lupe Rivera","Christy Forkner","Nancy West","3","2","2","2","Ryan Forkner","Arielle Sword","Ruben Castanuela","2","1","1","1","1"
"04/23/2021","931-Mixed Chorus","2","Gainesville High School","","Gainesville","Anthony Daniels","","Susan Higgins","AAAA","Non-Varsity","","166977","Sing Praise  Alleluia (3 part mixed) (SAB) (keyboard) (accomp)","Crocker","Erev shel shoshanim (Hebrew) (accomp)","Anon. or Trad./Klebanow","The Winter's Night ","Nicholas Meyers","Lupe Rivera","Christy Forkner","Nancy West","2","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","2","2","1","2","2"
"04/23/2021","931-Mixed Chorus","2","Ponder High School","","Ponder","Madeline DeHart","","Patti Freeman","AAA","Varsity","","163772","Apamuy Shungo","Guevara","There Will Come Soft Rains","Farnell","Shalom Aleichem","Goldfarb/Aldema","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","A"
"04/23/2021","931-Mixed Chorus","2","Ponder Middle School","","Ponder","Madeline DeHart","","Patti Freeman","CC","Non-Varsity","","163780","Over the Sea to Skye","Jothen","III. Alleluia (from Three a cappella Latin settings)","Estes","Keep Your Lamps!","Johnson","Lupe Rivera","Christy Forkner","Nancy West","3","3","1","3","Ryan Forkner","Arielle Sword","Ruben Castanuela","2","2","3","2",""
"04/23/2021","931-Mixed Chorus","2","Sanger High School","","sanger","Bryce Myerhoff","","Donna Lincoln","AAAA","Varsity","","166630","In Youth is Pleasure (SAB) (accomp)","Crocker","Come In (from Firefly Darkness) (SAB  sop  alto  baritone soli) (accomp)","Bernon","Ain't Judgin' No Man ","Gilpin","Lupe Rivera","Christy Forkner","Nancy West","3","3","2","3","Ryan Forkner","Arielle Sword","Ruben Castanuela","3","3","2","3",""
"04/23/2021","933-Tenor/Bass Chorus","2","Argyle High School","","Argyle","Will Griswold","","N/A","AAAA","Varsity","","163498","Flying Solo (TBB) (accomp)","Silvey","O Magnum Mysterium (a cappella)","Ramos","In Umbra (TTB) (accomp)","Thomas","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","B"
"04/23/2021","933-Tenor/Bass Chorus","2","Decatur High School","","Decatur","Chris Yurasek","","Jeffrey Ou","AAAA","Varsity","","166909","Hey Ho  Nobody`s Home (3 part in any combination) (accomp)","Anon. or Trad./Gilpin","Omnia Vincit Amor (TB)(accomp or accapella)","Trotta","Nine Hundred Miles","Douglas Wagner","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","B"
"04/23/2021","933-Tenor/Bass Chorus","2","Decatur Middle School","","Ft. Worth","Clare Yurasek","","","CC","Non-Varsity","","167028","The Rio Grande","Parks","Aura Lee (accomp)","Poulton/Crocker","Sinner Man (TB) (accomp)","Anon. or Trad./Emerson","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","D"
"04/23/2021","935-Treble Chorus","2","Argyle High School","","Argyle","Will Griswold","","N/A","AAAA","Varsity","","163501","Deo Gracias (hand drum) (a cappella)","Leininger","The Poet Sings (SSA) (accomp)","Stroope","Jericho (SSA) (accomp)","Wright","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","B"
"04/23/2021","935-Treble Chorus","2","Argyle Middle School","","Argyle","Alex Singleton","","Will Griswold","CC","Non-Varsity","","162815","Al Shlosha D'Varim","Allen Naplan","Au clair de la lune","Emily Crocker","Sing To Me","Andrea Ramsey","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","D"
"04/23/2021","935-Treble Chorus","2","Bowie High School","","Bowie","Melissa ZAmzow","","","AAA","Non-Varsity","","165290","Wishing Star","Bolton","The Moon","Beck","Will you Teach Me","Raddin","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","4","5","5","5","2"
"04/23/2021","935-Treble Chorus","2","Bowie Middle School","","Bowie","Melissa Zamzow","Robert Frick","Jarae Scruggs","CC","Non-Varsity","","167519","Who Has Seen the Wind (SA) (accomp)","Lightfoot","Lux Aeterna (SA)(a cappella or accomp) (a cappella)","Jones","If I Had Three Wishes","Sugar","Lupe Rivera","Christy Forkner","Nancy West","3","2","1","2","Ryan Forkner","Arielle Sword","Ruben Castanuela","2","2","2","2",""
"04/23/2021","935-Treble Chorus","2","Decatur High School","","Decatur","Chris Yurasek","","","AAAA","Varsity","","166907","Alleluia! Sing for Joy! (2 part) (opt flute & h& drum) (accomp)","Lully/Liebergen","Cool Moon","Richard Williamson","Sigh No More  Ladies (SSA) (opt a cappella) (accomp)","Spevacek","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","B"
"04/23/2021","935-Treble Chorus","2","Decatur Middle School","","Ft. Worth","Clare Yurasek","","","CC","Varsity","","167027","Gloria","Trotta","Shoshone Love Song","Emerson","Cirandiero","Green","Lupe Rivera","Christy Forkner","Nancy West","1","1","1","1","Ryan Forkner","Arielle Sword","Ruben Castanuela","1","1","1","1","C"
