UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/29/2011","931-Mixed Chorus","23","Alief Taylor HS","","Houston","Susan Chiboroski","","Wendy Ostien","AAAAA","Varsity","","63565","Sing Me to Heaven ","Gawthrop ","The Pasture","Stroope","The Battle of Jericho","Anon. or Trad./Hogan  ","Robert Horton","Amy Lewis","Eddie Quaid","2","2","1","2","Patsy Cargill","Debbie Tidwell","Mike Ware","2","3","2","2",""
"03/29/2011","931-Mixed Chorus","23","Bellaire HS","","Bellaire","Amy Solberg","","Peggy Walter","AAAAA","Varsity","","63467","Sicut erat in principio (from Magnificat in B-flat) (Latin) (SSATB)","Pachelbel/Scholz  ","Ej  saulite  driz pie Dieva","Imant Raminsh","La Chaparrita (Spanish)","Anon. or Trad./Tabbush","Robert Horton","Amy Lewis","Eddie Quaid","1","2","2","2","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","1"
"03/29/2011","931-Mixed Chorus","23","Cinco Ranch HS","","Katy","Dorothy Wilson","Eric West","","AAAAA","Varsity","","63763","O Vos Omnes (Is It Nothing To You?)  (Latin)","Vittoria/Klein  ","Rytmus (from Tri etudy) (SATB divisi)","Hrusovsky","Flanders Fields","Aitken","Robert Horton","Amy Lewis","Eddie Quaid","1","1","1","1","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","A"
"03/29/2011","931-Mixed Chorus","23","Elsik HS","","Houston ","Jason Plata","","Wendy Ostien","AAAAA","Varsity","","63783","Dixit Dominus (from Vesperae Solemnes de Confessore K. 339) (Latin)","Mozart","A Red  Red Rose ","Mulholland/Rodby  ","Praise the Name of God With a Song (SATB divisi)","Koepke","Robert Horton","Amy Lewis","Eddie Quaid","3","3","3","3","Patsy Cargill","Debbie Tidwell","Mike Ware","2","2","2","2",""
"03/29/2011","931-Mixed Chorus","23","Furr HS","","Houston","Kevin Coleman","","","AAAA","Non-Varsity","D","59851","Je ne fus Jamais se Aise"," Jannequin/Hall","Ye Restless Thoughts","Wilbye","Come  Celebrate with Joyful Pleasure","Arcadelt/Liebergen ","Robert Horton","Amy Lewis","Eddie Quaid","DNA","DNA","DNA","DNA","Patsy Cargill","Debbie Tidwell","Mike Ware","DNA","DNA","DNA","DNA",""
"03/29/2011","931-Mixed Chorus","23","Hastings HS","","Houston","Mary Starnes","none","TBA","AAAAA","Varsity","","63825","Ave Verum Corpus","Mozart","Ave Maria (Latin) (SATB divisi)","Rachmaninoff/Cramer  ","Sing Out Your Joy","Crocker","Robert Horton","Amy Lewis","Eddie Quaid","3","4","3","3","Patsy Cargill","Debbie Tidwell","Mike Ware","3","4","4","4",""
"03/29/2011","931-Mixed Chorus","23","J E Taylor HS","","Katy","Kevin Riehle","Kristin L. Likos","Vicki Dooman","AAAAA","Varsity","","63787","Water Night","Whitacre","Sehnsucht (German) ","Brahms/Klein","Prelude","Gjeilo","Robert Horton","Amy Lewis","Eddie Quaid","2","2","1","2","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","1"
"03/29/2011","931-Mixed Chorus","23","Kashmere HS","","Houston","Patricia Prince","","","AAAA","Varsity","","63702","I Will Arise ","Anon. or Trad./Shaw/Parker  ","Chester (SATB divisi)","Billings/Shaw/Parker  ","Walk in Jerusalem Just-a like John","thygerson","Robert Horton","Amy Lewis","Eddie Quaid","3","4","3","3","Patsy Cargill","Debbie Tidwell","Mike Ware","5","5","5","5",""
"03/29/2011","931-Mixed Chorus","23","Katy HS","","Katy","Robert Dierdorf",""," Beverly Wanner","AAAAA","Non-Varsity","","62844","I Will Sing of the Goodness of the Lord (SATB)","Crocker","Mon Coeur se Recommande a Vous (French)","Anon. or Trad.","Ma Navu (Hebrew) (SAB or SATB)","Anon. or Trad./Snyder   ","Robert Horton","Amy Lewis","Eddie Quaid","2","2","2","2","Patsy Cargill","Debbie Tidwell","Mike Ware","3","2","2","2",""
"03/29/2011","931-Mixed Chorus","23","Katy HS","","Katy","Robert Dierdorf","","Beverly Wanner","AAAAA","Varsity","","62843","Lament of the Enchantress (SSAATBB)","Bright","Domine  ad adjuvandum me festina (Lord  My God  Assist Me Now)  (Latin) (SATB soli) (keyboard  strings opt)","Martini/Castellini  ","Domine  ad adjuvandum me festina (Lord  My God  Assist Me Now)  (Latin) (SATB soli) (keyboard  strings opt)","Martini/Castellini  ","Robert Horton","Amy Lewis","Eddie Quaid","2","2","2","2","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","1"
"03/29/2011","931-Mixed Chorus","23","Kerr HS","","Houston","Patti Drachenberg","Jaime Malagon","Jaime Malagon","AAAA","Varsity","","63728","Lacrimosa","W A Mozart","Wata Kom A Mi 'Eye","Paul Tucker","Blackbird's Courting Song","George L. Mabry","Robert Horton","Amy Lewis","Eddie Quaid","1","1","1","1","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","A"
"03/29/2011","931-Mixed Chorus","23","Lamar High School","","Houston","Scott Houston","John Markert","John Markert","AAAAA","Varsity","","63768","Earth Song","Ticheli","Zum Gali (Dance the Hora!)  (SATB divisi)","Anon. or Trad./Goldman  ","Ave Verum ","Byrd","Robert Horton","Amy Lewis","Eddie Quaid","1","1","1","1","Patsy Cargill","Debbie Tidwell","Mike Ware","1","1","1","1","A"
"03/29/2011","931-Mixed Chorus","23","Madison HS","","Houston","Allen Williams","","Quintin Arnwine","AAAAA","Non-Varsity","","62220","Gloria (from Heiligmesse) (Latin)","Haydn/Woodman/Leavitt","Keep Your Lamps! (conga drums)","Anon. or Trad./Thomas   ","Ride On  King Jesus! (SATB divisi  solo)","Anon. or Trad./Hogan  ","Robert Horton","Amy Lewis","Eddie Quaid","2","2","2","2","Patsy Cargill","Debbie Tidwell","Mike Ware","3","2","3","3",""
