UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/14/2011","931-Mixed Chorus","8","Belton High School","","Belton","Craig Daniel Pitrucha","Justine Eckert","n/a","AAAAA","Varsity","","67196","I Will Arise","Parker/Shaw","Ave Verum Corpus","Byrd","Flower of Beauty","Clements","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","1","2","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","1"
"04/14/2011","931-Mixed Chorus","8","China Spring High School","","China  Spring","Susan Thrift","","Lisa Robinson","AAA","Varsity","","67924","Praise To The Lord  The Almighty (SSATB)","Distler ","Alouette","Bertalot","Ave Verum","Stopford","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","A"
"04/14/2011","931-Mixed Chorus","8","Copperas Cove High School","","Copperas Cove","Brandon Blaylock","","Kimberly Olson","AAAAA","Varsity","","60146","Musicks Empire from Triptych (SATB divisi)","Pfautsch","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen ","Whispering Waters","Keith Christopher","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","2","2","Daniel  Debbie","Dyer  David","French  Kathy","3","3","3","3",""
"04/14/2011","931-Mixed Chorus","8","Corsicana High School","","Corsicana","Mike Huffstetler","","Jeremy McKissack","AAAA","Non-Varsity","","65290","Come to the Music (SSATTB) (piccolo & percussion required)","Martin","Ave Maria ","Arcadelt","Keep Your Lamps! (conga drums)","Anon. or Trad./Thomas   ","Christman  Woody","Jennings  Tom","Quaid  Eddie","3","2","3","3","Daniel  Debbie","Dyer  David","French  Kathy","3","3","2","3",""
"04/14/2011","931-Mixed Chorus","8","Gatesville High School","","Gatesville","Rosemary Whittle","Robbie Sparkman","Charles Ament","AAA","Varsity","","67401","Gloria (from Heiligmesse) (Latin)","Haydn/Woodman/Leavitt","Duerme ","Anon. or Trad./Noble  ","Cantate Domino","Hayes","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","A"
"04/14/2011","931-Mixed Chorus","8","Harker Heights High School","","Harker Heights","Tommy Haygood","","","AAAAA","Non-Varsity","","67567","Ich brinn und bin entzundt gen dir (German) ","Hassler/Anderson  ","Let Joyful Anthems Rise (SAB) (keyboard)","Handel/Hopson","Gloria","Emerson  Peter B.","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","2","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","C"
"04/14/2011","931-Mixed Chorus","8","Harker Heights High School","","Harker Heights","Tommy Haygood","","Peter B. Emerson","AAAAA","Varsity","","67543","Zum Gali (Dance the Hora!)  (SATB divisi)","Anon. or Trad./Goldman  ","Psalm 43 (Richte mich  Gott)  (German) (SATB divisi)","Mendelssohn/Fuller","A Jubilant Song (SATB divisi  sop solo)","Dello Joio","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","A"
"04/14/2011","931-Mixed Chorus","8","Killeen High School","","Killeen","Alison Haygood","","Jimmy Baas","AAAA","Non-Varsity","","67757","Dona Nobis Pacem (from Mass in C) (SAB)","Mozart/Liebergen","Cantaremos ","Anon. or Trad./Noble  ","Bless the Lord  O My Soul","Nygard","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","C"
"04/14/2011","931-Mixed Chorus","8","Killeen High School","","Killeen","Alison Haygood","","Jimmy Baas","AAAA","Varsity","","67755","Kaung'a Yachee (opt percussion)","Mganga","So Wahr Die Sonne Scheinet (German) ","Schumann/Hall","Awake  My Heart","Marshall","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","A"
"04/14/2011","931-Mixed Chorus","8","Midway High School","","Waco","Jeff Rice","Jannifer Rice","Lydia Bratcher","AAAA","Varsity","","67947","At the Round Earth's Imagined Corners (SAATTBB)","Spencer","Sleep (SATB div)","Whitacre","El Vito","Wilberg","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","A"
"04/14/2011","931-Mixed Chorus","8","Robinson High School","","Robinson","Kimberly Parsons","","Shawna Furman","AAA","Non-Varsity","","67943","A Scottish Lullaby","Anon. or Trad./Gilpin  ","Sing to the Lord (SAB)","Crocker","Great Men of Long Ago","Lon Beery","Christman  Woody","Jennings  Tom","Quaid  Eddie","3","3","3","3","Daniel  Debbie","Dyer  David","French  Kathy","4","4","3","4",""
"04/14/2011","931-Mixed Chorus","8","Temple High School","","Temple","Ken Stanton","Tonya Lovorn","Dawna Mischtian","AAAAA","Varsity","","65823","Dixit Dominus (from Vesperae Solemnes de Confessore K. 339) (Latin)","Mozart","Surely He Hath Borne Our Griefs ","Graun/Buzin  ","Exsultate justi in Domino (SATB)","Adams","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","2","2","2","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","1"
"04/14/2011","931-Mixed Chorus","8","Waco High School","","Waco","Carrie Forehand","Michelle Espinosa","Cristina Wolfe","AAAA","Non-Varsity","","66512","Tambourica (SAB)","Anon. or Trad./Kirk   ","Cum Sancto Spiritu (Latin) (SAB)","Lotti/Liebergen  ","Lacrymosa","Mozart/Robinson","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","3","2","Daniel  Debbie","Dyer  David","French  Kathy","2","2","2","2",""
"04/14/2011","931-Mixed Chorus","8","Waco High School","","Waco","Carrie Forehand","Michelle Espinosa","Cristina Wolfe","AAAA","Varsity","","64257","O  Mistress Mine! ","Orban","Lebenslust (German) ","Schubert/Gordon","O  My Luve's Like a Red  Red Rose (SATB div)","Dickau","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","1","2","2","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","1"
"04/14/2011","933-Tenor/Bass Chorus","8","Belton High School","","Belton","Craig Daniel Pitrucha","","David Perez","AAAAA","Varsity","","67198","The Boatman's Dance","Copland/Fine","Cantate Domino","arr. Moore","As Soon as the Moon Lifts out of the Sea","Frank","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","B"
"04/14/2011","933-Tenor/Bass Chorus","8","Copperas Cove High School","","Copperas Cove","Brandon Blaylock","","Kimberly Olson","AAAAA","Varsity","","60147","Let All Men Sing ","Christopher","Aura Lee ","Poulton/Hunter/Parker/Shaw  ","The Awakening ","Martin","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","2","2","Daniel  Debbie","Dyer  David","French  Kathy","2","2","2","2",""
"04/14/2011","933-Tenor/Bass Chorus","8","Ellison High School","","Killeen","Amy Klein","","","AAAAA","Varsity","","67222","Exsultate Justi (Latin)","Viadana/Vene","I Believe (TTBB divisi)","Beery","Advent Carol (TTBB w/ tenor solo)","Pfautsch","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","1","2","Daniel  Debbie","Dyer  David","French  Kathy","2","2","2","2",""
"04/14/2011","933-Tenor/Bass Chorus","8","Harker Heights High School","","Harker Heights","Tommy Haygood","","Peter B. Emerson","AAAAA","Non-Varsity","","67549","Come to Me  O My Love (TBB)","Petker","This Old Hammer (solo or small group)","Anon. or Trad./Ehret","Poor Lonesome Cowboy","Luboff","Christman  Woody","Jennings  Tom","Quaid  Eddie","2","2","1","2","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","2"
"04/14/2011","933-Tenor/Bass Chorus","8","Harker Heights High School","","Harker Heights","Tommy Haygood","","Peter B. Emerson","AAAAA","Varsity","","67545","Wait For The Wagon (tenor solo)","Anon. or Trad./Buckley/Hunter/Shaw","Du  du liegst mir im Herzen (German)","Anon. or Trad./Shaw/Parker","Stodole Pumpa","Shaw/Parker","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","B"
"04/14/2011","933-Tenor/Bass Chorus","8","Midway High School","","Waco","Jeff Rice","Jannifer Rice","Lydia Bratcher","AAAA","Non-Varsity","","67949","Veni Jesu (Latin) (TTBB)","Cherubini/Marsh","Who Are the Brave (TTB)","Martin","Tshotsholoza","Ames","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","C"
"04/14/2011","933-Tenor/Bass Chorus","8","Midway High School","","Waco","Jeff Rice","Jannifer Rice","Lydia Bratcher","AAAA","Varsity","","67948","Mainacht (May Night) (TTBB)","Brahms/Stroope","Loch Lomond","Quick","Zion's Walls ","Copland/Koponen","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","1","1","1","Daniel  Debbie","Dyer  David","French  Kathy","1","1","1","1","B"
"04/14/2011","933-Tenor/Bass Chorus","8","Shoemaker High School","","Killeen","Stephen Barrick","Amanda Eddy","Stephen Barrick","AAAAA","Non-Varsity","","67672","Lonesome Road (TBB)","Anon. or Trad./Poorman  ","Gloria in Excelsis Deo (from Three Contemporary Latin Settings) (Latin) (TTB) ","Estes","Ave Maria (from Two Renaissance Chorals For Men) (TBB)","Arcadelt/Robinson  ","Christman  Woody","Jennings  Tom","Quaid  Eddie","1","2","3","2","Daniel  Debbie","Dyer  David","French  Kathy","2","2","2","2",""
