UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/02/2009","931-Mixed Chorus","27","Memorial Middle School","","Houston","Julia Hall","","Sue Mitchell","CCC","Varsity","","46275","Rise Up  My Love  My Fair One (piano & flute)","McCray","Jamais Je N'aimerai Grand Homme (French)","Anon. or Trad./Anderson","Rise Up This Day To Celebrate (SAB) (opt trumpet)","Haydn/Liebergen  ","Karla Cruz","Judy McEnany","Thomas Rinn","1","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","1","1","1","1","C"
"04/02/2009","931-Mixed Chorus","27","Spring Oaks Middle School","","Houston","Greg Morgan","","Keith Ross","CC","Varsity","","46864","Little Lamb","arr. Neil Johnson","Winter","arr. Emily Crocker","Kyrie","Klouse","Karla Cruz","Judy McEnany","Thomas Rinn","1","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","1","1","1","1","C"
"04/02/2009","933-Tenor/Bass Chorus","27","Northbrook Middle School","","Houston","Ronald (Matt) Green","","Gail Dunn","CC","Non-Varsity","","50690","Jubilate Deo","Mozart/Spevecek","The Maiden in the Tower (from Three Knight Songs)","Thomas Juneau","Cindy","Neil A. Johnson","Karla Cruz","Judy McEnany","Thomas Rinn","3","3","3","3","Gary Leger","Kendra Welton","Jennifer Zaccagni","4","3","4","4",""
"04/02/2009","933-Tenor/Bass Chorus","27","Spring Forest MS","","Houston","Kathleen Cuddihee","","Rick Stauffer","CC","Non-Varsity","","47310","I Walk by the Sea ","DeWitt","Set Me As a Seal Upon Your Heart (TB)","Farnell","What Shall We Do With a Drunken Sailor? ","Anon. or Trad./Ponce","Karla Cruz","Judy McEnany","Thomas Rinn","2","2","2","2","Gary Leger","Kendra Welton","Jennifer Zaccagni","3","3","3","3",""
"04/02/2009","933-Tenor/Bass Chorus","27","Spring Oaks Middle School","","Houston","Greg Morgan","Julia May","Keith Ross","CC","Varsity","","46867","Come Sail Away With Me","Mark Patterson","Leave Her  Johnny","arr. Emily Crocker","Set Me As A Seal Upon Your Heart","Laura Farnell","Karla Cruz","Judy McEnany","Thomas Rinn","1","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","1","1","1","1","C"
"04/02/2009","935-Treble Chorus","27","Bellville Junior High","","Bellville","Jonathan Mollenkopf","","Jason Phillips","CC","Non-Varsity","","47050","Celtic Cradle Song (unison)","Anon. or Trad./Hugh","Zum Gali Gali  ","Anon. or Trad./Terri","The Lord Is My Shepherd","Sarah Moore","Karla Cruz","Judy McEnany","Thomas Rinn","2","4","3","3","Gary Leger","Kendra Welton","Jennifer Zaccagni","5","4","3","4",""
"04/02/2009","935-Treble Chorus","27","Landrum Middle School","","Houston","Chris Strelecki","","Su-Jin Cho","CC","Non-Varsity","","46988","In The Bleak Midwinter (SA)","Williams/Wimberly","A la Puerta del Cielo (SA) (English or Spanish)","Anon. or Trad./Roth","The Cuckoo","Appleby/Fowler","Karla Cruz","Judy McEnany","Thomas Rinn","2","2","2","2","Gary Leger","Kendra Welton","Jennifer Zaccagni","2","2","3","2",""
"04/02/2009","935-Treble Chorus","27","Memorial Middle School","","Houston","Julia Hall","","Sue Mitchell","CCC","Non-Varsity","","46278","J'entends le Moulin","arr. Emily Crocker","Afternoon on a Hill ","Potts","Tarantella (2 part)","Anon. or Trad./Bobetsky","Karla Cruz","Judy McEnany","Thomas Rinn","1","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","1","1","1","1","D"
"04/02/2009","935-Treble Chorus","27","Memorial Middle School","","Houston","Julia Hall","","Sue Mitchell","CCC","Varsity","","46273","Let Us Sing  Jubilate Deo! ","Greg Gilpin","Au clair de la lune  ","Anon. or Trad./Crocker","Heart  We Will Forget Him! (SSA)","Farnell","Karla Cruz","Judy McEnany","Thomas Rinn","1","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","1","1","2","1","C"
"04/02/2009","935-Treble Chorus","27","Navasota Junior High","","Navasota","Natalie Nobles","","Ross Jarvis","CC","Non-Varsity","","47405","A Festive Alleluia ","Lightfoot","Alleluia (from Gloria and Alleluia) (SA) ","Schram","Song of the River (unison)","Anon. or Trad./Patterson","Karla Cruz","Judy McEnany","Thomas Rinn","2","1","1","1","Gary Leger","Kendra Welton","Jennifer Zaccagni","2","3","3","3","2"
